日期	招商银行	美的集团
2013-01-04	5.41	
2013-01-07	5.47	
2013-01-08	5.46	
2013-01-09	5.39	
2013-01-10	5.42	
2013-01-11	5.2	
2013-01-14	5.68	
2013-01-15	5.63	
2013-01-16	5.4	
2013-01-17	5.15	
2013-01-18	5.28	
2013-01-21	5.45	
2013-01-22	5.81	
2013-01-23	5.81	
2013-01-24	5.53	
2013-01-25	5.36	
2013-01-28	5.97	
2013-01-29	6.32	
2013-01-30	6.14	
2013-01-31	6.07	
2013-02-01	6.48	
2013-02-04	6.3	
2013-02-05	6.15	
2013-02-06	6.13	
2013-02-07	5.93	
2013-02-08	5.85	
2013-02-18	5.77	
2013-02-19	5.67	
2013-02-20	5.68	
2013-02-21	5.28	
2013-02-22	5.02	
2013-02-25	4.99	
2013-02-26	4.71	
2013-02-27	4.82	
2013-02-28	5.22	
2013-03-01	5.02	
2013-03-04	4.34	
2013-03-05	5.27	
2013-03-06	5.34	
2013-03-07	5.05	
2013-03-08	5.24	
2013-03-11	5.06	
2013-03-12	4.88	
2013-03-13	4.68	
2013-03-14	4.68	
2013-03-15	4.59	
2013-03-18	4.52	
2013-03-19	4.62	
2013-03-20	5.08	
2013-03-21	5.07	
2013-03-22	5.07	
2013-03-25	4.94	
2013-03-26	4.7	
2013-03-27	4.76	
2013-03-28	4.22	
2013-03-29	4.65	
2013-04-01	4.45	
2013-04-02	4.59	
2013-04-03	4.78	
2013-04-08	4.63	
2013-04-09	4.61	
2013-04-10	4.48	
2013-04-11	4.44	
2013-04-12	4.35	
2013-04-15	4.32	
2013-04-16	4.41	
2013-04-17	4.25	
2013-04-18	4.25	
2013-04-19	4.64	
2013-04-22	4.61	
2013-04-23	4.23	
2013-04-24	4.36	
2013-04-25	4.3	
2013-04-26	4.24	
2013-05-02	4.19	
2013-05-03	4.41	
2013-05-06	4.56	
2013-05-07	4.53	
2013-05-08	4.53	
2013-05-09	4.39	
2013-05-10	4.75	
2013-05-13	5.12	
2013-05-14	5.24	
2013-05-15	5.46	
2013-05-16	5.7	
2013-05-17	5.69	
2013-05-20	5.69	
2013-05-21	5.45	
2013-05-22	5.8	
2013-05-23	5.4	
2013-05-24	5.39	
2013-05-27	5.29	
2013-05-28	5.61	
2013-05-29	5.48	
2013-05-30	5.45	
2013-05-31	5.45	
2013-06-03	5.62	
2013-06-04	5.6	
2013-06-05	5.27	
2013-06-06	5.11	
2013-06-07	5.11	
2013-06-13	4.92	
2013-06-14	4.82	
2013-06-17	4.73	
2013-06-18	4.82	
2013-06-19	4.63	
2013-06-20	4.19	
2013-06-21	4.4	
2013-06-24	3.73	
2013-06-25	3.73	
2013-06-26	3.5	
2013-06-27	3.73	
2013-06-28	4.3	
2013-07-01	4.12	
2013-07-02	3.97	
2013-07-03	4.09	
2013-07-04	4.0	
2013-07-05	4.02	
2013-07-08	3.82	
2013-07-09	3.93	
2013-07-10	4.07	
2013-07-11	4.77	
2013-07-12	4.32	
2013-07-15	4.35	
2013-07-16	4.33	
2013-07-17	4.13	
2013-07-18	3.95	
2013-07-19	3.73	
2013-07-22	3.67	
2013-07-23	3.84	
2013-07-24	3.71	
2013-07-25	3.65	
2013-07-26	3.57	
2013-07-29	3.36	
2013-07-30	3.52	
2013-07-31	3.45	
2013-08-01	3.68	
2013-08-02	3.63	
2013-08-05	3.67	
2013-08-06	3.59	
2013-08-07	3.56	
2013-08-08	3.58	
2013-08-09	3.53	
2013-08-12	3.84	
2013-08-13	3.92	
2013-08-14	3.92	
2013-08-15	3.83	
2013-08-16	3.79	
2013-08-19	3.9	
2013-08-20	3.82	
2013-08-21	3.73	
2013-08-22	3.72	
2013-08-23	3.42	
2013-08-26	3.54	
2013-08-27	3.5	
2013-09-05	3.71	
2013-09-06	3.94	
2013-09-09	4.63	
2013-09-10	4.68	
2013-09-11	4.67	
2013-09-12	4.96	
2013-09-13	4.87	
2013-09-16	4.7	
2013-09-17	4.24	
2013-09-18	4.2	2.56
2013-09-23	4.24	3.62
2013-09-24	3.93	3.19
2013-09-25	3.89	3.31
2013-09-26	3.81	2.76
2013-09-27	3.85	2.76
2013-09-30	3.97	2.83
2013-10-08	3.96	3.29
2013-10-09	4.01	3.21
2013-10-10	3.83	3.48
2013-10-11	3.99	3.44
2013-10-14	3.85	3.56
2013-10-15	3.78	3.34
2013-10-16	3.78	3.21
2013-10-17	3.65	3.19
2013-10-18	3.68	3.56
2013-10-21	3.81	4.06
2013-10-22	3.68	3.94
2013-10-23	3.73	3.59
2013-10-24	3.68	3.96
2013-10-25	3.66	4.02
2013-10-28	3.67	4.49
2013-10-29	3.9	4.34
2013-10-30	3.96	4.67
2013-10-31	3.79	4.2
2013-11-01	3.96	4.03
2013-11-04	3.85	4.09
2013-11-05	3.8	4.15
2013-11-06	3.67	3.76
2013-11-07	3.75	3.62
2013-11-08	3.63	3.47
2013-11-11	3.58	3.5
2013-11-12	3.73	3.66
2013-11-13	3.38	3.43
2013-11-14	3.31	3.56
2013-11-15	3.4	3.62
2013-11-18	4.39	3.8
2013-11-19	4.07	3.82
2013-11-20	4.0	3.74
2013-11-21	4.02	3.48
2013-11-22	4.03	3.72
2013-11-25	3.87	3.55
2013-11-26	3.88	3.88
2013-11-27	3.91	3.72
2013-11-28	3.98	4.01
2013-11-29	3.96	4.07
2013-12-02	4.19	3.6
2013-12-03	4.15	3.83
2013-12-04	4.18	4.08
2013-12-05	4.09	4.24
2013-12-06	4.03	4.2
2013-12-09	3.95	4.23
2013-12-10	4.14	4.54
2013-12-11	4.07	4.2
2013-12-12	3.97	4.44
2013-12-13	3.75	4.67
2013-12-16	3.67	4.6
2013-12-17	3.68	4.36
2013-12-18	3.84	4.76
2013-12-19	3.75	4.6
2013-12-20	3.38	5.1
2013-12-23	3.32	4.72
2013-12-24	3.22	4.84
2013-12-25	3.36	4.74
2013-12-26	3.2	4.22
2013-12-27	3.36	4.57
2013-12-30	3.65	4.5
2013-12-31	3.94	4.63
2014-01-02	3.78	4.34
2014-01-03	3.56	4.11
2014-01-06	3.51	3.72
2014-01-07	3.57	3.68
2014-01-08	3.68	
2014-01-09	3.75	
2014-01-10	3.85	
2014-01-13	3.93	3.7
2014-01-14	3.8	4.1
2014-01-15	3.64	4.2
2014-01-16	3.6	4.18
2014-01-17	3.62	3.8
2014-01-20	3.52	3.96
2014-01-21	3.58	3.83
2014-01-22	3.75	4.03
2014-01-23	3.57	4.2
2014-01-24	3.48	4.26
2014-01-27	3.38	3.92
2014-01-28	3.49	4.07
2014-01-29	3.56	4.04
2014-01-30	3.41	3.79
2014-02-07	3.38	3.48
2014-02-10	3.48	3.71
2014-02-11	3.62	3.55
2014-02-12	3.56	3.76
2014-02-13	3.58	3.6
2014-02-14	3.57	3.64
2014-02-17	3.56	3.7
2014-02-18	3.37	3.56
2014-02-19	3.56	3.58
2014-02-20	3.4	3.27
2014-02-21	3.37	3.22
2014-02-24	3.13	2.47
2014-02-25	2.99	2.05
2014-02-26	3.07	1.76
2014-02-27	3.07	1.47
2014-02-28	2.98	1.68
2014-03-03	2.87	1.94
2014-03-04	2.8	1.66
2014-03-05	2.68	1.64
2014-03-06	2.78	2.14
2014-03-07	2.73	2.09
2014-03-10	2.52	2.13
2014-03-11	2.54	2.43
2014-03-12	2.66	2.51
2014-03-13	2.72	2.44
2014-03-14	2.61	2.44
2014-03-17	2.64	2.76
2014-03-18	2.64	2.52
2014-03-19	2.6	2.24
2014-03-20	2.51	1.91
2014-03-21	2.89	2.19
2014-03-24	2.89	2.27
2014-03-25	2.84	2.35
2014-03-26	2.85	2.57
2014-03-27	2.84	2.53
2014-03-28	2.91	2.72
2014-03-31	2.87	3.32
2014-04-01	2.93	3.83
2014-04-02	3.02	3.64
2014-04-03	2.93	3.59
2014-04-04	3.0	3.56
2014-04-08	3.29	3.76
2014-04-09	3.23	3.79
2014-04-10	3.46	3.72
2014-04-11	3.44	4.07
2014-04-14	3.36	3.92
2014-04-15	3.11	3.54
2014-04-16	3.16	3.6
2014-04-17	3.14	3.65
2014-04-18	3.06	3.75
2014-04-21	2.89	3.56
2014-04-22	2.99	3.34
2014-04-23	2.98	3.59
2014-04-24	3.04	3.87
2014-04-25	3.12	3.83
2014-04-28	3.11	3.68
2014-04-29	3.16	3.83
2014-04-30	3.08	3.34
2014-05-05	2.99	3.53
2014-05-06	2.92	3.26
2014-05-07	2.91	2.96
2014-05-08	2.94	3.06
2014-05-09	2.96	3.25
2014-05-12	3.08	
2014-05-13	3.04	3.3
2014-05-14	3.04	3.35
2014-05-15	3.03	3.17
2014-05-16	3.08	3.23
2014-05-19	2.91	2.9
2014-05-20	2.93	2.89
2014-05-21	3.0	2.88
2014-05-22	3.01	3.0
2014-05-23	3.12	3.1
2014-05-26	3.13	3.16
2014-05-27	3.16	3.12
2014-05-28	3.25	3.38
2014-05-29	3.2	3.38
2014-05-30	3.2	3.44
2014-06-03	3.23	3.58
2014-06-04	3.15	3.38
2014-06-05	3.21	3.49
2014-06-06	3.05	3.5
2014-06-09	3.05	3.54
2014-06-10	3.2	4.0
2014-06-11	3.17	4.06
2014-06-12	3.12	4.12
2014-06-13	3.27	4.54
2014-06-16	3.44	4.56
2014-06-17	3.37	4.18
2014-06-18	3.3	4.05
2014-06-19	3.24	4.15
2014-06-20	3.26	4.08
2014-06-23	3.15	3.83
2014-06-24	3.23	4.01
2014-06-25	3.19	4.02
2014-06-26	3.29	4.28
2014-06-27	3.23	4.63
2014-06-30	3.29	4.71
2014-07-01	3.28	4.42
2014-07-02	3.31	4.7
