2019年3月29日	2.407	2.398	2.430	2.393	0.66%
2019年3月28日	2.391	2.365	2.405	2.340	0.42%
2019年3月27日	2.381	2.425	2.432	2.352	-1.81%
2019年3月26日	2.425	2.414	2.453	2.402	0.83%
2019年3月25日	2.405	2.453	2.473	2.377	-1.89%
2019年3月24日	2.451	2.450	2.451	2.450	0.59%
2019年3月22日	2.437	2.539	2.539	2.418	-4.02%
2019年3月21日	2.539	2.524	2.546	2.500	0.55%
2019年3月20日	2.525	2.616	2.618	2.524	-3.55%
2019年3月19日	2.618	2.603	2.634	2.591	0.50%
2019年3月18日	2.605	2.594	2.611	2.585	0.41%
2019年3月17日	2.594	2.592	2.594	2.592	0.13%
2019年3月15日	2.591	2.628	2.638	2.580	-1.48%
2019年3月14日	2.630	2.621	2.645	2.611	0.19%
2019年3月13日	2.625	2.607	2.628	2.605	0.96%
2019年3月12日	2.600	2.657	2.674	2.596	-1.55%
2019年3月11日	2.641	2.630	2.659	2.623	0.41%
2019年3月10日	2.630	2.628	2.630	2.628	0.00%
2019年3月8日	2.630	2.645	2.652	2.607	-0.42%
2019年3月7日	2.641	2.690	2.693	2.636	-1.93%
2019年3月6日	2.693	2.719	2.720	2.679	-0.96%
2019年3月5日	2.719	2.728	2.750	2.715	-0.18%
2019年3月4日	2.724	2.766	2.768	2.719	-1.51%
2019年3月3日	2.766	2.770	2.770	2.766	0.25%
2019年3月1日	2.759	2.719	2.768	2.711	1.55%
2019年2月28日	2.717	2.675	2.731	2.659	1.15%
2019年2月27日	2.686	2.634	2.699	2.628	1.82%
2019年2月26日	2.638	2.663	2.668	2.632	-1.12%
2019年2月25日	2.668	2.668	2.684	2.655	0.07%
2019年2月24日	2.666	2.664	2.666	2.664	0.46%
2019年2月22日	2.654	2.688	2.688	2.638	-1.52%
2019年2月21日	2.695	2.645	2.697	2.641	1.77%
2019年2月20日	2.648	2.641	2.659	2.627	0.46%
2019年2月19日	2.636	2.675	2.675	2.634	-1.40%
2019年2月18日	2.673	2.673	2.673	2.673	0.35%
2019年2月15日	2.664	2.659	2.688	2.645	0.34%
2019年2月14日	2.655	2.698	2.713	2.643	-1.99%
2019年2月13日	2.709	2.693	2.715	2.681	0.86%
2019年2月12日	2.686	2.654	2.691	2.654	1.21%
2019年2月11日	2.654	2.638	2.670	2.636	0.76%
2019年2月10日	2.634	2.634	2.634	2.634	0.00%
2019年2月8日	2.634	2.657	2.659	2.625	-0.87%
2019年2月7日	2.657	2.697	2.698	2.650	-1.59%
2019年2月6日	2.700	2.704	2.704	2.673	-0.15%
2019年2月5日	2.704	2.718	2.740	2.688	-0.77%
2019年2月4日	2.725	2.693	2.734	2.684	1.25%
2019年2月3日	2.691	2.691	2.691	2.691	0.28%
2019年2月1日	2.684	2.645	2.697	2.624	1.94%
2019年1月31日	2.633	2.683	2.685	2.619	-1.68%
2019年1月30日	2.678	2.715	2.735	2.676	-1.18%
2019年1月29日	2.710	2.742	2.747	2.706	-1.38%
2019年1月28日	2.748	2.755	2.766	2.728	-0.25%
2019年1月27日	2.755	2.755	2.755	2.755	-0.15%
2019年1月25日	2.759	2.721	2.760	2.719	1.58%
