2019年4月4日	2.430	2.428	2.435	2.428	0.00%
2019年4月3日	2.430	2.428	2.433	2.428	-0.15%
2019年4月2日	2.434	2.413	2.436	2.413	1.76%
2019年4月1日	2.392	2.417	2.417	2.383	-0.39%
2019年3月31日	2.401	2.401	2.401	2.401	0.06%
2019年3月29日	2.396	2.432	2.432	2.394	-1.67%
2019年3月28日	2.437	2.440	2.440	2.428	-0.20%
2019年3月27日	2.442	2.458	2.461	2.428	-1.13%
2019年3月26日	2.470	2.459	2.464	2.459	0.65%
2019年3月25日	2.454	2.453	2.460	2.447	0.05%
2019年3月24日	2.453	2.453	2.453	2.453	-0.38%
2019年3月22日	2.462	2.466	2.466	2.453	-0.44%
2019年3月21日	2.473	2.492	2.492	2.461	0.00%
2019年3月20日	2.473	2.466	2.474	2.456	0.12%
2019年3月19日	2.470	2.466	2.466	2.456	0.98%
2019年3月18日	2.446	2.442	2.447	2.440	0.15%
2019年3月17日	2.442	2.442	2.442	2.442	-0.39%
2019年3月15日	2.452	2.447	2.447	2.442	0.00%
2019年3月14日	2.452	2.448	2.448	2.443	0.00%
2019年3月13日	2.452	2.451	2.458	2.446	-0.33%
2019年3月12日	2.460	2.433	2.454	2.433	0.65%
2019年3月11日	2.444	2.453	2.453	2.437	-0.35%
2019年3月10日	2.453	2.453	2.453	2.453	-0.05%
2019年3月8日	2.454	2.453	2.471	2.447	-0.24%
2019年3月7日	2.460	2.458	2.463	2.453	-0.20%
2019年3月6日	2.465	2.456	2.461	2.453	0.00%
2019年3月5日	2.465	2.464	2.466	2.456	1.36%
2019年3月4日	2.432	2.440	2.442	2.432	-0.32%
2019年3月3日	2.440	2.440	2.440	2.440	0.20%
2019年3月1日	2.435	2.440	2.445	2.435	-0.20%
2019年2月28日	2.440	2.445	2.448	2.438	-0.45%
2019年2月27日	2.451	2.459	2.461	2.443	-0.28%
2019年2月26日	2.458	2.443	2.464	2.443	0.33%
2019年2月25日	2.450	2.450	2.455	2.445	0.00%
2019年2月24日	2.450	2.450	2.450	2.450	0.00%
2019年2月22日	2.450	2.450	2.453	2.445	0.08%
2019年2月21日	2.448	2.456	2.461	2.433	0.08%
2019年2月20日	2.446	2.428	2.456	2.428	0.70%
2019年2月19日	2.429	2.429	2.442	2.422	0.00%
2019年2月18日	2.429	2.429	2.429	2.429	0.10%
2019年2月15日	2.427	2.442	2.442	2.424	-0.12%
2019年2月14日	2.430	2.443	2.443	2.425	0.00%
2019年2月13日	2.430	2.438	2.448	2.428	-0.21%
2019年2月12日	2.435	2.454	2.454	2.435	0.12%
2019年2月11日	2.432	2.427	2.440	2.419	0.42%
2019年2月10日	2.422	2.422	2.422	2.422	0.00%
2019年2月8日	2.422	2.424	2.424	2.409	0.41%
2019年2月7日	2.412	2.425	2.425	2.404	-0.21%
2019年2月6日	2.417	2.428	2.433	2.412	0.00%
2019年2月5日	2.417	2.428	2.433	2.418	1.09%
2019年2月4日	2.391	2.396	2.396	2.381	-0.22%
2019年2月3日	2.396	2.396	2.396	2.396	0.00%
2019年2月1日	2.396	2.401	2.404	2.396	-0.04%
2019年1月31日	2.397	2.425	2.433	2.397	-0.83%
2019年1月30日	2.417	2.422	2.430	2.417	-0.25%
2019年1月29日	2.423	2.425	2.430	2.420	1.47%
2019年1月28日	2.388	2.383	2.394	2.383	0.19%
2019年1月27日	2.383	2.383	2.383	2.383	0.00%
2019年1月25日	2.383	2.371	2.389	2.368	0.59%
2019年1月24日	2.369	2.440	2.445	2.363	-1.70%
2019年1月23日	2.410	2.441	2.446	2.405	0.37%
2019年1月22日	2.401	2.406	2.411	2.398	-0.22%
2019年1月21日	2.406	2.406	2.406	2.406	0.10%
2019年1月18日	2.404	2.411	2.411	2.401	-0.25%
2019年1月17日	2.410	2.420	2.435	2.404	-0.41%
2019年1月16日	2.420	2.451	2.464	2.412	-1.26%
2019年1月15日	2.451	2.451	2.456	2.448	1.41%
2019年1月14日	2.417	2.427	2.427	2.414	-0.20%
2019年1月13日	2.422	2.422	2.422	2.422	-0.09%
2019年1月11日	2.424	2.430	2.432	2.422	-0.37%
2019年1月10日	2.433	2.445	2.448	2.430	-0.41%
2019年1月9日	2.443	2.459	2.474	2.441	-0.61%
2019年1月8日	2.458	2.456	2.471	2.446	2.03%
2019年1月7日	2.409	2.424	2.427	2.409	-0.64%
2019年1月6日	2.424	2.424	2.424	2.424	0.43%
2019年1月4日	2.414	2.437	2.437	2.409	0.08%
2019年1月3日	2.412	2.422	2.471	2.407	-0.21%
2019年1月2日	2.417	2.469	2.469	2.415	-2.00%
2019年1月1日	2.466	2.466	2.466	2.466	3.58%
2018年12月31日	2.381	2.388	2.480	2.373	-0.21%
2018年12月30日	2.386	2.386	2.386	2.386	0.13%
2018年12月28日	2.383	2.412	2.417	2.378	-1.12%
2018年12月27日	2.410	2.446	2.453	2.407	-1.03%
2018年12月26日	2.435	2.443	2.453	2.428	-0.34%
2018年12月25日	2.443	2.443	2.443	2.443	2.31%
2018年12月24日	2.388	2.391	2.398	2.386	0.08%
2018年12月23日	2.386	2.386	2.386	2.386	0.00%
2018年12月21日	2.386	2.386	2.407	2.373	-0.25%
2018年12月20日	2.392	2.438	2.438	2.386	-0.08%
2018年12月19日	2.394	2.384	2.407	2.382	0.42%
2018年12月18日	2.384	2.400	2.430	2.382	-0.42%
2018年12月17日	2.394	2.427	2.427	2.388	-0.94%
2018年12月16日	2.417	2.417	2.417	2.417	-0.30%
2018年12月14日	2.424	2.427	2.427	2.409	0.17%
2018年12月13日	2.420	2.428	2.433	2.415	-0.33%
2018年12月12日	2.428	2.438	2.446	2.428	0.00%
2018年12月11日	2.428	2.438	2.438	2.425	1.76%
2018年12月10日	2.386	2.396	2.396	2.376	-0.43%
2018年12月9日	2.396	2.396	2.396	2.396	0.00%
2018年12月7日	2.396	2.409	2.414	2.394	-0.58%
2018年12月6日	2.410	2.417	2.420	2.407	-0.52%
2018年12月5日	2.422	2.422	2.422	2.422	-0.02%
2018年12月4日	2.423	2.397	2.428	2.389	3.46%
2018年12月3日	2.342	2.358	2.371	2.340	-0.56%
2018年12月2日	2.355	2.355	2.355	2.355	-0.33%
2018年11月30日	2.363	2.371	2.373	2.353	-0.13%
2018年11月29日	2.366	2.392	2.392	2.358	-0.88%
2018年11月28日	2.387	2.405	2.407	2.382	-0.75%
2018年11月27日	2.405	2.405	2.425	2.402	0.25%
2018年11月26日	2.399	2.404	2.414	2.399	-0.31%
2018年11月25日	2.407	2.407	2.407	2.407	0.10%
2018年11月23日	2.404	2.404	2.407	2.404	0.09%
2018年11月22日	2.402	2.402	2.402	2.402	-0.22%
2018年11月21日	2.407	2.397	2.409	2.386	0.63%
2018年11月20日	2.392	2.387	2.395	2.376	1.57%
2018年11月19日	2.355	2.352	2.365	2.352	0.10%
