时期	前值	现值	发布日期
2019年1月	3.90%	4.00%	2019-02-01
2018年12月	3.70%	3.90%	2019-01-04
2018年11月	3.80%	3.70%	2018-12-07
2018年10月	3.70%	3.80%	2018-11-02
2018年9月	3.90%	3.70%	2018-10-05
2018年8月	3.90%	3.90%	2018-09-07
2018年7月	4.00%	3.90%	2018-08-03
2018年6月	3.80%	4.00%	2018-07-06
2018年5月	3.90%	3.80%	2018-06-01
2018年4月	4.10%	3.90%	2018-05-04
2018年3月	4.10%	4.10%	2018-04-06
2018年2月	4.10%	4.10%	2018-03-09
2018年1月	4.10%	4.10%	2018-02-02
2017年12月	4.10%	4.10%	2018-01-05
2017年11月	4.10%	4.10%	2017-12-08
2017年10月	4.20%	4.10%	2017-11-03
2017年9月	4.40%	4.20%	2017-10-06
2017年8月	4.30%	4.40%	2017-09-01
2017年7月	4.40%	4.30%	2017-08-04
2017年6月	4.30%	4.40%	2017-07-07
2017年5月	4.40%	4.30%	2017-06-02
2017年4月	4.50%	4.40%	2017-05-05
2017年3月	4.70%	4.50%	2017-04-07
2017年2月	4.80%	4.70%	2017-03-10
2017年1月	4.70%	4.80%	2017-02-03
2016年12月	4.60%	4.70%	2017-01-06
2016年11月	4.80%	4.60%	2016-12-02
2016年10月	5.00%	4.80%	2016-11-04
2016年9月	4.90%	5.00%	2016-10-07
2016年8月	4.90%	4.90%	2016-09-02
2016年7月	4.90%	4.90%	2016-08-05
2016年6月	4.70%	4.90%	2016-07-08
2016年5月	5.00%	4.70%	2016-06-03
2016年4月	5.00%	5.00%	2016-05-06
2016年3月	4.90%	5.00%	2016-04-01
2016年2月	4.90%	4.90%	2016-03-04
2016年1月	5.00%	4.90%	2016-02-05
2015年12月	5.00%	5.00%	2016-01-08
2015年11月	5.00%	5.00%	2015-12-04
2015年10月	5.10%	5.00%	2015-11-06
2015年9月	5.10%	5.10%	2015-10-02
2015年8月	5.30%	5.10%	2015-09-04
2015年7月	5.30%	5.30%	2015-08-07
2015年6月	5.50%	5.30%	2015-07-02
2015年5月	5.40%	5.50%	2015-06-05
2015年4月	5.50%	5.40%	2015-05-08
2015年3月	5.50%	5.50%	2015-04-03
2015年2月	5.70%	5.50%	2015-03-06
2015年1月	5.60%	5.70%	2015-02-06
2014年12月	5.80%	5.60%	2015-01-09
2014年11月	5.70%	5.80%	2014-12-05
2014年10月	5.90%	5.70%	2014-11-07
2014年9月	6.10%	5.90%	2014-10-03
2014年8月	6.20%	6.10%	2014-09-05
2014年7月	6.10%	6.20%	2014-08-01
2014年6月	6.30%	6.10%	2014-07-03
2014年5月	6.20%	6.30%	2014-06-06
2014年4月	6.60%	6.20%	2014-05-02
