	date	value
0	2009-03-05	1.0
1	2009-03-06	1.0
2	2009-03-13	1.0
3	2009-03-20	1.007
4	2009-03-27	1.015
5	2009-04-02	1.039
6	2009-04-03	1.037
7	2009-04-07	1.039
8	2009-04-08	1.002
9	2009-04-09	1.017
10	2009-04-10	1.047
11	2009-04-13	1.071
12	2009-04-14	1.079
13	2009-04-15	1.083
14	2009-04-16	1.083
15	2009-04-17	1.068
16	2009-04-20	1.091
17	2009-04-21	1.078
18	2009-04-22	1.04
19	2009-04-23	1.046
20	2009-04-24	1.038
21	2009-04-27	1.015
22	2009-04-28	1.017
23	2009-04-29	1.051
24	2009-04-30	1.057
25	2009-05-04	1.092
26	2009-05-05	1.098
27	2009-05-06	1.112
28	2009-05-07	1.113
29	2009-05-08	1.122
30	2009-05-11	1.098
31	2009-05-12	1.123
32	2009-05-13	1.133
33	2009-05-14	1.124
34	2009-05-15	1.126
35	2009-05-18	1.131
36	2009-05-19	1.143
37	2009-05-20	1.133
38	2009-05-21	1.108
39	2009-05-22	1.104
40	2009-05-25	1.109
41	2009-05-26	1.096
42	2009-05-27	1.112
43	2009-06-01	1.149
44	2009-06-02	1.152
45	2009-06-03	1.181
46	2009-06-04	1.187
47	2009-06-05	1.181
48	2009-06-08	1.185
49	2009-06-09	1.189
50	2009-06-10	1.201
51	2009-06-11	1.191
52	2009-06-12	1.17
53	2009-06-15	1.193
54	2009-06-16	1.191
55	2009-06-17	1.21
56	2009-06-18	1.227
57	2009-06-19	1.236
58	2009-06-22	1.238
59	2009-06-23	1.239
60	2009-06-24	1.253
61	2009-06-25	1.252
62	2009-06-26	1.256
63	2009-06-29	1.275
64	2009-06-30	1.27
65	2009-07-01	1.298
66	2009-07-02	1.315
67	2009-07-03	1.332
68	2009-07-06	1.35
69	2009-07-07	1.337
70	2009-07-08	1.342
71	2009-07-09	1.359
72	2009-07-10	1.36
73	2009-07-13	1.346
74	2009-07-14	1.381
75	2009-07-15	1.396
76	2009-07-16	1.399
77	2009-07-17	1.406
78	2009-07-20	1.43
79	2009-07-21	1.413
80	2009-07-22	1.436
81	2009-07-23	1.453
82	2009-07-24	1.459
83	2009-07-27	1.484
84	2009-07-28	1.488
85	2009-07-29	1.42
86	2009-07-30	1.445
87	2009-07-31	1.479
88	2009-08-03	1.497
89	2009-08-04	1.497
90	2009-08-05	1.482
91	2009-08-06	1.455
92	2009-08-07	1.418
93	2009-08-10	1.414
94	2009-08-11	1.418
95	2009-08-12	1.363
96	2009-08-13	1.378
97	2009-08-14	1.344
98	2009-08-17	1.272
99	2009-08-18	1.283
100	2009-08-19	1.227
101	2009-08-20	1.273
102	2009-08-21	1.293
103	2009-08-24	1.302
104	2009-08-25	1.26
105	2009-08-26	1.282
106	2009-08-27	1.276
107	2009-08-28	1.239
108	2009-08-31	1.166
109	2009-09-01	1.17
110	2009-09-02	1.186
111	2009-09-03	1.242
112	2009-09-04	1.25
113	2009-09-07	1.26
114	2009-09-08	1.282
115	2009-09-09	1.291
116	2009-09-10	1.28
117	2009-09-11	1.305
118	2009-09-14	1.324
119	2009-09-15	1.328
120	2009-09-16	1.313
121	2009-09-17	1.333
122	2009-09-18	1.292
123	2009-09-21	1.295
124	2009-09-22	1.269
125	2009-09-23	1.244
126	2009-09-24	1.252
127	2009-09-25	1.244
128	2009-09-28	1.215
129	2009-09-29	1.215
130	2009-09-30	1.226
131	2009-10-09	1.281
132	2009-10-12	1.276
133	2009-10-13	1.293
134	2009-10-14	1.303
135	2009-10-15	1.307
136	2009-10-16	1.308
137	2009-10-19	1.338
138	2009-10-20	1.355
139	2009-10-21	1.352
140	2009-10-22	1.345
141	2009-10-23	1.367
142	2009-10-26	1.368
143	2009-10-27	1.334
144	2009-10-28	1.339
145	2009-10-29	1.311
146	2009-10-30	1.322
147	2009-11-02	1.361
148	2009-11-03	1.376
149	2009-11-04	1.382
150	2009-11-05	1.385
151	2009-11-06	1.392
152	2009-11-09	1.396
153	2009-11-10	1.399
154	2009-11-11	1.396
155	2009-11-12	1.397
156	2009-11-13	1.404
157	2009-11-16	1.44
158	2009-11-17	1.441
159	2009-11-18	1.442
160	2009-11-19	1.446
161	2009-11-20	1.442
162	2009-11-23	1.454
163	2009-11-24	1.413
164	2009-11-25	1.441
165	2009-11-26	1.392
166	2009-11-27	1.356
167	2009-11-30	1.4
168	2009-12-01	1.417
169	2009-12-02	1.429
170	2009-12-03	1.427
171	2009-12-04	1.445
172	2009-12-07	1.454
173	2009-12-08	1.439
174	2009-12-09	1.415
175	2009-12-10	1.423
176	2009-12-11	1.422
177	2009-12-14	1.436
178	2009-12-15	1.426
179	2009-12-16	1.418
180	2009-12-17	1.39
181	2009-12-18	1.361
182	2009-12-21	1.362
183	2009-12-22	1.331
184	2009-12-23	1.341
185	2009-12-24	1.376
186	2009-12-25	1.371
187	2009-12-28	1.389
188	2009-12-29	1.397
189	2009-12-30	1.418
190	2009-12-31	1.423
191	2010-01-04	1.409
192	2010-01-05	1.419
193	2010-01-06	1.411
194	2010-01-07	1.387
195	2010-01-08	1.39
196	2010-01-11	1.39
197	2010-01-12	1.408
198	2010-01-13	1.37
199	2010-01-14	1.386
200	2010-01-15	1.39
201	2010-01-18	1.396
202	2010-01-19	1.399
203	2010-01-20	1.36
204	2010-01-21	1.365
205	2010-01-22	1.35
206	2010-01-25	1.337
207	2010-01-26	1.31
208	2010-01-27	1.295
209	2010-01-28	1.298
210	2010-01-29	1.297
211	2010-02-01	1.279
212	2010-02-02	1.277
213	2010-02-03	1.305
214	2010-02-04	1.301
215	2010-02-05	1.279
216	2010-02-08	1.279
217	2010-02-09	1.285
218	2010-02-10	1.3
219	2010-02-11	1.302
220	2010-02-12	1.312
221	2010-02-22	1.306
222	2010-02-23	1.294
223	2010-02-24	1.309
224	2010-02-25	1.325
225	2010-02-26	1.322
226	2010-03-01	1.336
227	2010-03-02	1.332
228	2010-03-03	1.34
229	2010-03-04	1.312
230	2010-03-05	1.315
231	2010-03-08	1.323
232	2010-03-09	1.33
233	2010-03-10	1.321
234	2010-03-11	1.32
235	2010-03-12	1.306
236	2010-03-15	1.289
237	2010-03-16	1.296
238	2010-03-17	1.32
239	2010-03-18	1.317
240	2010-03-19	1.326
241	2010-03-22	1.329
242	2010-03-23	1.32
243	2010-03-24	1.32
244	2010-03-25	1.304
245	2010-03-26	1.319
246	2010-03-29	1.347
247	2010-03-30	1.35
248	2010-03-31	1.343
249	2010-04-01	1.358
250	2010-04-02	1.363
251	2010-04-06	1.363
252	2010-04-07	1.356
253	2010-04-08	1.343
254	2010-04-09	1.354
255	2010-04-12	1.345
256	2010-04-13	1.358
257	2010-04-14	1.362
258	2010-04-15	1.359
259	2010-04-16	1.346
260	2010-04-19	1.286
261	2010-04-20	1.285
262	2010-04-21	1.305
263	2010-04-22	1.294
264	2010-04-23	1.29
265	2010-04-26	1.281
266	2010-04-27	1.258
267	2010-04-28	1.254
268	2010-04-29	1.241
269	2010-04-30	1.2449
270	2010-05-04	1.2311
271	2010-05-05	1.2373
272	2010-05-06	1.1909
273	2010-05-07	1.1713
274	2010-05-10	1.1786
275	2010-05-11	1.1588
276	2010-05-12	1.1643
277	2010-05-13	1.1877
278	2010-05-14	1.1814
279	2010-05-17	1.13
280	2010-05-18	1.1492
281	2010-05-19	1.146
282	2010-05-20	1.1337
283	2010-05-21	1.1482
284	2010-05-24	1.1839
285	2010-05-25	1.1634
286	2010-05-26	1.1633
287	2010-05-27	1.1799
288	2010-05-28	1.1769
289	2010-05-31	1.1505
290	2010-06-01	1.1404
291	2010-06-02	1.1466
292	2010-06-03	1.1395
293	2010-06-04	1.1424
294	2010-06-07	1.1262
295	2010-06-08	1.1273
296	2010-06-09	1.1554
297	2010-06-10	1.1447
298	2010-06-11	1.1476
299	2010-06-17	1.1421
300	2010-06-18	1.1261
301	2010-06-21	1.1546
302	2010-06-22	1.1557
303	2010-06-23	1.1474
304	2010-06-24	1.1473
305	2010-06-25	1.1403
306	2010-06-28	1.1338
307	2010-06-29	1.0914
308	2010-06-30	1.0807
309	2010-07-01	1.068
310	2010-07-02	1.0712
311	2010-07-05	1.0637
312	2010-07-06	1.0817
313	2010-07-07	1.0879
314	2010-07-08	1.0869
315	2010-07-09	1.1125
316	2010-07-12	1.123
317	2010-07-13	1.1085
318	2010-07-14	1.1155
319	2010-07-15	1.099
320	2010-07-16	1.102
321	2010-07-19	1.126
322	2010-07-20	1.1472
323	2010-07-21	1.1491
324	2010-07-22	1.1615
325	2010-07-23	1.1662
326	2010-07-26	1.172
327	2010-07-27	1.1664
328	2010-07-28	1.1908
329	2010-07-29	1.1959
330	2010-07-30	1.1928
331	2010-08-02	1.2101
332	2010-08-03	1.1915
333	2010-08-04	1.1951
334	2010-08-05	1.1855
335	2010-08-06	1.2023
336	2010-08-09	1.2095
337	2010-08-10	1.1785
338	2010-08-11	1.1845
339	2010-08-12	1.1724
340	2010-08-13	1.1861
341	2010-08-16	1.2095
342	2010-08-17	1.2164
343	2010-08-18	1.2144
344	2010-08-19	1.2208
345	2010-08-20	1.2004
346	2010-08-23	1.1997
347	2010-08-24	1.2052
348	2010-08-25	1.1805
349	2010-08-26	1.183
350	2010-08-27	1.186
351	2010-08-30	1.2059
352	2010-08-31	1.2018
353	2010-09-01	1.195
354	2010-09-02	1.2076
355	2010-09-03	1.2072
356	2010-09-06	1.2255
357	2010-09-07	1.2285
358	2010-09-08	1.2279
359	2010-09-09	1.2094
360	2010-09-10	1.2116
361	2010-09-13	1.222
362	2010-09-14	1.2231
363	2010-09-15	1.2053
364	2010-09-16	1.1864
365	2010-09-17	1.1878
366	2010-09-20	1.184
367	2010-09-21	1.1865
368	2010-09-27	1.2026
369	2010-09-28	1.1944
370	2010-09-29	1.1919
371	2010-09-30	1.2123
372	2010-10-08	1.2488
373	2010-10-11	1.2785
374	2010-10-12	1.2919
375	2010-10-13	1.3071
376	2010-10-14	1.3087
377	2010-10-15	1.3432
378	2010-10-18	1.336
379	2010-10-19	1.3594
380	2010-10-20	1.3665
381	2010-10-21	1.3591
382	2010-10-22	1.3603
383	2010-10-25	1.3947
384	2010-10-26	1.3897
385	2010-10-27	1.3688
386	2010-10-28	1.3668
387	2010-10-29	1.3611
388	2010-11-01	1.3918
389	2010-11-02	1.3883
390	2010-11-03	1.3727
391	2010-11-04	1.3936
392	2010-11-05	1.4073
393	2010-11-08	1.4167
394	2010-11-09	1.4082
395	2010-11-10	1.3997
396	2010-11-11	1.4033
397	2010-11-12	1.3291
398	2010-11-15	1.3368
399	2010-11-16	1.2876
400	2010-11-17	1.2646
401	2010-11-18	1.2799
402	2010-11-19	1.2901
403	2010-11-22	1.2877
404	2010-11-23	1.2655
405	2010-11-24	1.2916
406	2010-11-25	1.3076
407	2010-11-26	1.298
408	2010-11-29	1.2961
409	2010-11-30	1.2782
410	2010-12-01	1.2772
411	2010-12-02	1.2829
412	2010-12-03	1.2841
413	2010-12-06	1.2866
414	2010-12-07	1.2985
415	2010-12-08	1.2889
416	2010-12-09	1.2727
417	2010-12-10	1.2856
418	2010-12-13	1.3189
419	2010-12-14	1.3217
420	2010-12-15	1.3144
421	2010-12-16	1.3085
422	2010-12-17	1.3068
423	2010-12-20	1.291
424	2010-12-21	1.315
425	2010-12-22	1.3033
426	2010-12-23	1.2944
427	2010-12-24	1.2859
428	2010-12-27	1.2645
429	2010-12-28	1.2463
430	2010-12-29	1.2519
431	2010-12-30	1.2522
432	2010-12-31	1.2734
433	2011-01-04	1.2936
434	2011-01-05	1.2885
435	2011-01-06	1.2832
