	date	value
0	2013-08-23	0.9991
1	2013-08-30	1.0004
2	2013-09-06	1.0009
3	2013-09-09	1.0007
4	2013-09-13	1.0105
5	2013-09-16	1.0051
6	2013-09-17	0.9856
7	2013-09-18	0.9841
8	2013-09-23	1.0006
9	2013-09-24	1.0128
10	2013-09-25	1.0105
11	2013-09-26	1.0099
12	2013-09-27	1.0066
13	2013-09-30	1.0208
14	2013-10-08	1.0309
15	2013-10-09	1.0419
16	2013-10-10	1.039
17	2013-10-11	1.0526
18	2013-10-14	1.0751
19	2013-10-15	1.0843
20	2013-10-16	1.0645
21	2013-10-17	1.063
22	2013-10-18	1.0667
23	2013-10-21	1.1037
24	2013-10-22	1.0938
25	2013-10-23	1.0556
26	2013-10-24	1.0445
27	2013-10-25	1.0183
28	2013-10-28	1.0106
29	2013-10-29	0.9992
30	2013-10-30	1.0117
31	2013-10-31	0.9852
32	2013-11-01	0.9793
33	2013-11-04	0.9808
34	2013-11-05	0.9886
35	2013-11-06	0.9795
36	2013-11-07	0.9671
37	2013-11-08	0.9547
38	2013-11-11	0.9676
39	2013-11-12	0.9822
40	2013-11-13	0.9669
41	2013-11-14	0.9806
42	2013-11-15	0.998
43	2013-11-18	1.0207
44	2013-11-19	1.0076
45	2013-11-20	1.0093
46	2013-11-21	1.0015
47	2013-11-22	0.9978
48	2013-11-25	0.9965
49	2013-11-26	0.9962
50	2013-11-27	1.002
51	2013-11-28	1.0163
52	2013-11-29	1.0169
53	2013-12-02	0.9799
54	2013-12-03	1.0011
55	2013-12-04	1.0186
56	2013-12-05	1.0171
57	2013-12-06	1.0159
58	2013-12-09	1.0214
59	2013-12-10	1.0195
60	2013-12-11	1.0107
61	2013-12-12	1.0087
62	2013-12-13	1.0062
63	2013-12-16	0.9867
64	2013-12-17	0.9817
65	2013-12-18	0.9811
66	2013-12-19	0.9709
67	2013-12-20	0.9667
68	2013-12-23	0.9657
69	2013-12-24	0.9681
70	2013-12-25	0.9769
71	2013-12-26	0.9645
72	2013-12-27	0.9767
73	2013-12-30	0.979
74	2013-12-31	0.9924
75	2014-01-02	0.9852
76	2014-01-03	0.9752
77	2014-01-06	0.947
78	2014-01-07	0.9484
79	2014-01-08	0.9528
80	2014-01-09	0.9426
81	2014-01-10	0.9394
82	2014-01-13	0.9387
83	2014-01-14	0.9504
84	2014-01-15	0.9497
85	2014-01-16	0.9545
86	2014-01-17	0.933
87	2014-01-20	0.9278
88	2014-01-21	0.9301
89	2014-01-22	0.9557
90	2014-01-23	0.9545
91	2014-01-24	0.9587
92	2014-01-27	0.9507
93	2014-01-28	0.939
94	2014-01-29	0.9295
95	2014-01-30	0.9127
96	2014-02-07	0.925
97	2014-02-10	0.9472
98	2014-02-11	0.9528
99	2014-02-12	0.9585
100	2014-02-13	0.9509
101	2014-02-14	0.97
102	2014-02-17	0.9833
103	2014-02-18	0.9722
104	2014-02-19	0.9777
105	2014-02-20	0.974
106	2014-02-21	0.9657
107	2014-02-24	0.954
108	2014-02-25	0.9201
109	2014-02-26	0.9191
110	2014-02-27	0.9091
111	2014-02-28	0.9266
112	2014-03-03	0.9435
113	2014-03-04	0.9356
114	2014-03-05	0.9413
115	2014-03-06	0.9385
116	2014-03-07	0.9437
117	2014-03-10	0.9234
118	2014-03-11	0.9396
119	2014-03-12	0.9358
120	2014-03-13	0.9636
121	2014-03-14	0.9534
122	2014-03-17	0.9587
123	2014-03-18	0.9654
124	2014-03-19	0.9515
125	2014-03-20	0.9297
