date	value_zq	value_hs300
2012-03-21	1.0	1.1001
2012-03-23	1.0	1.0886
2012-03-26	1.001	1.0895
2012-03-27	1.001	1.0865
2012-03-28	1.001	1.0625
2012-03-29	1.001	1.0518
2012-03-30	1.002	1.0557
2012-04-05	1.004	1.075
2012-04-06	1.005	1.0775
2012-04-09	1.006	1.0692
2012-04-10	1.007	1.0774
2012-04-11	1.008	1.0775
2012-04-12	1.009	1.0943
2012-04-13	1.009	1.0976
2012-04-16	1.01	1.0954
2012-04-17	1.011	1.0849
2012-04-18	1.012	1.1042
2012-04-19	1.013	1.103
2012-04-20	1.013	1.1132
2012-04-23	1.015	1.1063
2012-04-24	1.017	1.1062
2012-04-25	1.017	1.1131
2012-04-26	1.018	1.115
2012-04-27	1.018	1.1133
2012-05-02	1.019	1.1324
2012-05-03	1.02	1.1351
2012-05-04	1.021	1.1433
2012-05-07	1.021	1.1442
2012-05-08	1.021	1.1412
2012-05-09	1.021	1.1241
2012-05-10	1.022	1.1241
2012-05-11	1.023	1.1174
2012-05-14	1.025	1.1102
2012-05-15	1.027	1.1109
2012-05-16	1.028	1.0968
2012-05-17	1.029	1.1099
2012-05-18	1.03	1.0968
2012-05-21	1.032	1.1013
2012-05-22	1.032	1.1147
2012-05-23	1.033	1.1113
2012-05-24	1.034	1.1041
2012-05-25	1.038	1.0968
2012-05-28	1.04	1.1108
2012-05-29	1.04	1.1228
2012-05-30	1.041	1.12
2012-05-31	1.042	1.1172
2012-06-01	1.042	1.1176
2012-06-04	1.044	1.0931
2012-06-05	1.045	1.0931
2012-06-06	1.046	1.0928
2012-06-07	1.047	1.0886
2012-06-08	1.053	1.0828
2012-06-11	1.053	1.0949
2012-06-12	1.053	1.0892
2012-06-13	1.053	1.1029
2012-06-14	1.053	1.0968
2012-06-15	1.054	1.0997
2012-06-18	1.054	1.1045
2012-06-19	1.052	1.0972
2012-06-20	1.053	1.0956
2012-06-21	1.054	1.0821
2012-06-25	1.054	1.0641
2012-06-26	1.054	1.0653
2012-06-27	1.054	1.0626
2012-06-28	1.054	1.0555
2012-06-29	1.055	1.0675
2012-06-30	1.055	1.0675
2012-07-02	1.055	1.0688
2012-07-03	1.056	1.0702
2012-07-04	1.057	1.069
2012-07-05	1.061	1.0581
2012-07-06	1.061	1.0726
2012-07-09	1.062	1.0537
2012-07-10	1.061	1.0507
2012-07-11	1.061	1.0573
2012-07-12	1.062	1.0654
2012-07-13	1.063	1.0661
2012-07-16	1.064	1.049
2012-07-17	1.063	1.0539
2012-07-18	1.063	1.054
2012-07-19	1.063	1.0578
2012-07-20	1.063	1.0491
2012-07-23	1.063	1.0379
2012-07-24	1.063	1.0415
2012-07-25	1.062	1.0362
2012-07-26	1.061	1.032
2012-07-27	1.061	1.0326
2012-07-30	1.061	1.0282
2012-07-31	1.06	1.0273
2012-08-01	1.06	1.0359
2012-08-02	1.059	1.0284
2012-08-03	1.058	1.0349
2012-08-06	1.057	1.0456
2012-08-07	1.056	1.0467
2012-08-08	1.055	1.0472
2012-08-09	1.055	1.0546
2012-08-10	1.053	1.0506
2012-08-13	1.055	1.0344
2012-08-14	1.054	1.0361
2012-08-15	1.054	1.0273
2012-08-16	1.054	1.0234
2012-08-17	1.053	1.0214
2012-08-20	1.05	1.0173
2012-08-21	1.049	1.0212
2012-08-22	1.047	1.0152
2012-08-23	1.047	1.0175
2012-08-24	1.047	1.0085
2012-08-27	1.046	0.9923
2012-08-28	1.045	0.9957
2012-08-29	1.045	0.9877
2012-08-30	1.044	0.9866
2012-08-31	1.045	0.9844
2012-09-03	1.044	0.9929
2012-09-04	1.045	0.9848
2012-09-05	1.045	0.9831
2012-09-06	1.045	0.9893
2012-09-07	1.045	1.023
2012-09-10	1.044	1.0262
2012-09-11	1.042	1.0211
2012-09-12	1.04	1.0239
2012-09-13	1.041	1.0165
2012-09-14	1.038	1.0221
2012-09-17	1.037	1.0029
2012-09-18	1.038	0.995
2012-09-19	1.038	0.9987
2012-09-20	1.039	0.9815
2012-09-21	1.038	0.9826
2012-09-24	1.04	0.9882
2012-09-25	1.041	0.9863
2012-09-26	1.041	0.9777
2012-09-27	1.042	1.0004
2012-09-28	1.043	1.0144
2012-09-30	1.044	1.0143
2012-10-08	1.045	1.0064
2012-10-09	1.044	1.0233
2012-10-10	1.045	1.0246
2012-10-11	1.047	1.0172
2012-10-12	1.048	1.0178
2012-10-15	1.049	1.0145
2012-10-16	1.05	1.0156
2012-10-17	1.05	1.0164
2012-10-18	1.05	1.0284
2012-10-19	1.049	1.0272
2012-10-22	1.049	1.0301
2012-10-23	1.048	1.02
2012-10-24	1.049	1.0186
2012-10-25	1.049	1.013
2012-10-26	1.048	0.9983
2012-10-29	1.048	0.9942
2012-10-30	1.048	0.9956
2012-10-31	1.049	1.0006
2012-11-01	1.049	1.0152
2012-11-02	1.049	1.0181
2012-11-05	1.049	1.0165
2012-11-06	1.05	1.0133
2012-11-07	1.05	1.0116
2012-11-08	1.05	0.9972
