	date	value
0	2012-03-21	1.0
5	2012-03-29	0.9875284701390781
10	2012-04-10	0.9987053992164696
15	2012-04-17	1.0035675207569814
20	2012-04-24	1.0136540098869606
25	2012-05-03	1.0237583933857284
30	2012-05-10	1.022183738496702
35	2012-05-17	1.023253820567698
40	2012-05-24	1.0251943775740278
45	2012-05-31	1.0343606331547865
50	2012-06-07	1.0298908090593963
55	2012-06-14	1.0363374701741026
60	2012-06-21	1.03295044230066
65	2012-06-29	1.0295911829213615
70	2012-07-05	1.0309591312086175
75	2012-07-12	1.0337529115539537
80	2012-07-19	1.0322391636294048
85	2012-07-26	1.0234137293398926
90	2012-08-02	1.0209578459713158
95	2012-08-09	1.0260219445886245
100	2012-08-16	1.0160946206177273
105	2012-08-23	1.009612268923703
110	2012-08-30	0.9984216336680065
115	2012-09-06	0.9998723171078289
120	2012-09-13	1.00541027873415
125	2012-09-20	0.9934907478318173
130	2012-09-27	1.0012150237400372
135	2012-10-10	1.0104931214747033
140	2012-10-17	1.011402608928343
145	2012-10-24	1.0113884844935792
150	2012-10-31	1.0059957791233072
155	2012-11-07	1.0099692228368318
160	2012-11-14	1.0060975125386584
165	2012-11-21	1.0032610723221995
170	2012-11-28	0.9985658536723848
175	2012-12-05	1.0063728118531856
180	2012-12-12	1.0154576595148639
185	2012-12-19	1.0272468299066992
190	2012-12-26	1.0365525795648964
195	2013-01-07	1.0470334621953856
200	2013-01-14	1.0538637839048925
205	2013-01-21	1.0638445080706413
210	2013-01-28	1.0686974782625043
215	2013-02-04	1.0883181042066226
220	2013-02-18	1.0906765274814734
225	2013-02-25	1.082253244819442
230	2013-03-04	1.075689705928696
235	2013-03-11	1.0830013688964315
240	2013-03-18	1.0755812443751387
245	2013-03-25	1.090517742466366
250	2013-04-01	1.0780222339096301
255	2013-04-10	1.0825328132506693
260	2013-04-17	1.0831272685609479
265	2013-04-24	1.082845370775837
270	2013-05-06	1.0894104518162882
275	2013-05-13	1.0945973824205635
280	2013-05-20	1.105571909979746
285	2013-05-27	1.1047490854126678
290	2013-06-03	1.107433534000269
295	2013-06-13	1.0852574832743245
300	2013-06-20	1.0700656510828757
305	2013-06-27	1.0549678434885608
310	2013-07-03	1.0598423523229958
315	2013-07-10	1.0605402283209853
320	2013-07-17	1.0657413925055303
325	2013-07-24	1.058355732537727
330	2013-07-31	1.0501896808454894
335	2013-08-07	1.0605797395936607
340	2013-08-14	1.0674952379813263
345	2013-08-21	1.0605504726483181
350	2013-08-28	1.0634233823390629
355	2013-09-04	1.067817940331362
360	2013-09-11	1.0857547687878764
365	2013-09-18	1.0804987333902898
370	2013-09-27	1.0764175764933401
375	2013-10-11	1.0861261136847533
380	2013-10-18	1.0809789676902553
385	2013-10-25	1.0724155848398125
390	2013-11-01	1.0734321097750132
395	2013-11-08	1.0646141009797245
400	2013-11-15	1.062249602022587
405	2013-11-22	1.0630945061689177
410	2013-11-29	1.0654083789735926
415	2013-12-06	1.0660313961932364
420	2013-12-13	1.0599759245089628
425	2013-12-20	1.0419991415908019
430	2013-12-27	1.0438647979738394
435	2014-01-06	1.0355930097506556
440	2014-01-13	1.0275749530819729
445	2014-01-20	1.020705553925302
450	2014-01-27	1.0306488713929083
455	2014-02-10	1.0401098397861541
460	2014-02-17	1.052180903830513
465	2014-02-24	1.0471454045436086
470	2014-03-03	1.0486557325309231
475	2014-03-10	1.0351278228502943
480	2014-03-17	1.0420788057809567
485	2014-03-24	1.0470313088488614
490	2014-03-31	1.0423654687836734
495	2014-04-08	1.0557217185976586
500	2014-04-15	1.058744061842862
505	2014-04-22	1.059104189744518
510	2014-04-29	1.0559953607569121
515	2014-05-08	1.0589711415502103
520	2014-05-15	1.0665586527367816
525	2014-05-22	1.0659106988880547
530	2014-05-29	1.0720489627603138
535	2014-06-06	1.075880214687786
540	2014-06-13	1.0859105058492182
545	2014-06-20	1.0806747899337545
550	2014-06-27	1.0877400049215324
555	2014-07-04	1.091349625019922
560	2014-07-11	1.0902283482401258
565	2014-07-18	1.0936298437942429
570	2014-07-25	1.1074347616062261
575	2014-08-01	1.119104134230481
580	2014-08-08	1.1220973178546105
585	2014-08-15	1.1300405824477222
590	2014-08-22	1.133225284178109
595	2014-08-29	1.1320787054312322
600	2014-09-05	1.1490094048775474
605	2014-09-15	1.148320270145772
610	2014-09-22	1.1424955606314922
615	2014-09-29	1.1540884500122597
620	2014-10-13	1.1568576790917664
625	2014-10-20	1.1660637526801945
630	2014-10-27	1.158605906051273
635	2014-11-03	1.188434170671672
640	2014-11-10	1.2042831560479863
645	2014-11-17	1.2024302897912194
650	2014-11-24	1.2128925735159357
655	2014-12-01	1.2367567947907971
660	2014-12-08	1.2860071477300599
665	2014-12-15	1.2664289884763376
670	2014-12-22	1.2898834081170827
675	2014-12-29	1.3041422759853467
680	2015-01-07	1.3339697503010837
685	2015-01-14	1.3225014183215096
690	2015-01-21	1.333676591496916
695	2015-01-28	1.3317403471348754
