date	value_zq	value_hs300
2012-03-21	1.0	1.1001
2012-03-29	1.001	1.0518
2012-04-10	1.007	1.0774
2012-04-17	1.011	1.0849
2012-04-24	1.017	1.1062
2012-05-03	1.02	1.1351
2012-05-10	1.022	1.1241
2012-05-17	1.029	1.1099
2012-05-24	1.034	1.1041
2012-05-31	1.042	1.1172
2012-06-07	1.047	1.0886
2012-06-14	1.053	1.0968
2012-06-21	1.054	1.0821
2012-06-29	1.055	1.0675
2012-07-05	1.061	1.0581
2012-07-12	1.062	1.0654
2012-07-19	1.063	1.0578
2012-07-26	1.061	1.032
2012-08-02	1.059	1.0284
2012-08-09	1.055	1.0546
2012-08-16	1.054	1.0234
2012-08-23	1.047	1.0175
2012-08-30	1.044	0.9866
2012-09-06	1.045	0.9893
2012-09-13	1.041	1.0165
2012-09-20	1.039	0.9815
2012-09-27	1.042	1.0004
2012-10-10	1.045	1.0246
2012-10-17	1.05	1.0164
2012-10-24	1.049	1.0186
2012-10-31	1.049	1.0006
2012-11-07	1.05	1.0116
2012-11-14	1.054	0.9896
2012-11-21	1.054	0.9801
2012-11-28	1.057	0.9576
2012-12-05	1.056	0.9842
2012-12-12	1.06	1.0047
2012-12-19	1.061	1.0401
2012-12-26	1.061	1.0697
2013-01-07	1.065	1.0948
2013-01-14	1.069	1.109
2013-01-21	1.079	1.1198
2013-01-28	1.08	1.1343
2013-02-04	1.095	1.1667
2013-02-18	1.1	1.1627
2013-02-25	1.106	1.1177
2013-03-04	1.105	1.0977
2013-03-11	1.109	1.1136
2013-03-18	1.111	1.0829
2013-03-25	1.117	1.1206
2013-04-01	1.116	1.0794
2013-04-10	1.124	1.0764
2013-04-17	1.129	1.0671
2013-04-24	1.123	1.0797
2013-05-06	1.128	1.0899
2013-05-13	1.135	1.0915
2013-05-20	1.139	1.1187
2013-05-27	1.139	1.116
2013-06-03	1.142	1.1182
2013-06-13	1.138	1.0527
2013-06-20	1.127	1.0267
2013-06-27	1.128	0.9736
2013-07-03	1.129	0.9878
2013-07-10	1.126	0.9961
2013-07-17	1.123	1.0184
2013-07-24	1.117	1.0077
2013-07-31	1.115	0.9864
2013-08-07	1.116	1.0169
2013-08-14	1.115	1.0409
2013-08-21	1.111	1.0273
2013-08-28	1.112	1.0343
2013-09-04	1.115	1.0421
2013-09-11	1.12	1.0893
2013-09-18	1.12	1.0723
2013-09-27	1.12	1.0591
2013-10-11	1.123	1.0842
2013-10-18	1.122	1.0694
2013-10-25	1.118	1.05
2013-11-01	1.117	1.0556
2013-11-08	1.116	1.0289
2013-11-15	1.106	1.0432
