date	value_zq	value_hs300	value
2013-08-23	1.112	1.02	0.9991
2013-08-30	1.113	1.0294	1.0004
2013-09-06	1.116	1.0448	1.0009
2013-09-09	1.119	1.074	1.0007
2013-09-13	1.119	1.0918	1.0105
2013-09-16	1.119	1.088	1.0051
2013-09-17	1.119	1.0701	0.9856
2013-09-18	1.12	1.0723	0.9841
2013-09-23	1.121	1.0858	1.0006
2013-09-24	1.12	1.0759	1.0128
2013-09-25	1.12	1.0708	1.0105
2013-09-26	1.12	1.0554	1.0099
2013-09-27	1.12	1.0591	1.0066
2013-09-30	1.12	1.0639	1.0208
2013-10-08	1.122	1.075	1.0309
2013-10-09	1.122	1.0792	1.0419
2013-10-10	1.123	1.0707	1.039
2013-10-11	1.123	1.0842	1.0526
2013-10-14	1.123	1.0854	1.0751
2013-10-15	1.122	1.0837	1.0843
2013-10-16	1.121	1.0678	1.0645
2013-10-17	1.122	1.065	1.063
2013-10-18	1.122	1.0694	1.0667
2013-10-21	1.123	1.0849	1.1037
2013-10-22	1.123	1.0761	1.0938
2013-10-23	1.121	1.0668	1.0556
2013-10-24	1.12	1.0607	1.0445
2013-10-25	1.118	1.05	1.0183
2013-10-28	1.117	1.0491	1.0106
2013-10-29	1.116	1.0514	0.9992
2013-10-30	1.116	1.0635	1.0117
2013-10-31	1.115	1.0517	0.9852
2013-11-01	1.117	1.0556	0.9793
2013-11-04	1.117	1.054	0.9808
2013-11-05	1.118	1.055	0.9886
2013-11-06	1.117	1.0446	0.9795
2013-11-07	1.117	1.0401	0.9671
2013-11-08	1.116	1.0289	0.9547
2013-11-11	1.115	1.0315	0.9676
2013-11-12	1.114	1.0399	0.9822
2013-11-13	1.111	1.0218	0.9669
2013-11-14	1.109	1.0273	0.9806
2013-11-15	1.106	1.0432	0.998
2013-11-18	1.106	1.0702	1.0207
2013-11-19	1.104	1.0645	1.0076
2013-11-20	1.102	1.0687	1.0093
2013-11-21	1.101	1.0634	1.0015
2013-11-22	1.1	1.0592	0.9978
2013-11-25	1.096	1.0561	0.9965
2013-11-26	1.094	1.0558	0.9962
2013-11-27	1.094	1.065	1.002
2013-11-28	1.095	1.0736	1.0163
2013-11-29	1.097	1.0734	1.0169
2013-12-02	1.098	1.0665	0.9799
2013-12-03	1.098	1.0747	1.0011
2013-12-04	1.098	1.0858	1.0186
2013-12-05	1.097	1.0834	1.0171
2013-12-06	1.096	1.0779	1.0159
2013-12-09	1.096	1.0773	1.0214
2013-12-10	1.095	1.0782	1.0195
2013-12-11	1.094	1.0642	1.0107
2013-12-12	1.093	1.0633	1.0087
2013-12-13	1.094	1.0622	1.0062
2013-12-16	1.093	1.0487	0.9867
2013-12-17	1.092	1.0447	0.9817
2013-12-18	1.091	1.0451	0.9811
2013-12-19	1.088	1.0365	0.9709
2013-12-20	1.087	1.018	0.9667
2013-12-23	1.086	1.02	0.9657
2013-12-24	1.087	1.0213	0.9681
2013-12-25	1.086	1.027	0.9769
2013-12-26	1.086	1.0134	0.9645
2013-12-27	1.086	1.0265	0.9767
2013-12-30	1.086	1.0251	0.979
2013-12-31	1.086	1.0356	0.9924
2014-01-02	1.086	1.0327	0.9852
2014-01-03	1.085	1.0219	0.9752
2014-01-06	1.084	1.0038	0.947
2014-01-07	1.083	1.0036	0.9484
2014-01-08	1.082	1.0049	0.9528
2014-01-09	1.081	0.9982	0.9426
2014-01-10	1.08	0.9923	0.9394
2014-01-13	1.079	0.9885	0.9387
2014-01-14	1.076	0.9951	0.9504
2014-01-15	1.075	0.9938	0.9497
2014-01-16	1.075	0.9949	0.9545
2014-01-17	1.074	0.9834	0.933
2014-01-20	1.073	0.9792	0.9278
2014-01-21	1.074	0.9865	0.9301
2014-01-22	1.077	1.0059	0.9557
2014-01-23	1.078	1.0018	0.9545
2014-01-24	1.08	1.0066	0.9587
2014-01-27	1.08	0.9964	0.9507
2014-01-28	1.083	0.9977	0.939
2014-01-29	1.084	1.0003	0.9295
2014-01-30	1.084	0.9916	0.9127
2014-02-07	1.084	0.9949	0.925
2014-02-10	1.086	1.0138	0.9472
2014-02-11	1.088	1.0201	0.9528
2014-02-12	1.09	1.0221	0.9585
2014-02-13	1.093	1.0182	0.9509
2014-02-14	1.096	1.0236	0.97
2014-02-17	1.097	1.029	0.9833
2014-02-18	1.096	1.019	0.9722
2014-02-19	1.099	1.0282	0.9777
2014-02-20	1.102	1.021	0.974
2014-02-21	1.104	1.013	0.9657
2014-02-24	1.105	0.9957	0.954
2014-02-25	1.106	0.9763	0.9201
2014-02-26	1.107	0.9784	0.9191
2014-02-27	1.109	0.9752	0.9091
2014-02-28	1.11	0.9837	0.9266
2014-03-03	1.111	0.9877	0.9435
2014-03-04	1.109	0.9856	0.9356
2014-03-05	1.105	0.9786	0.9413
2014-03-06	1.104	0.9818	0.9385
2014-03-07	1.106	0.98	0.9437
2014-03-10	1.106	0.9556	0.9234
2014-03-11	1.107	0.9593	0.9396
2014-03-12	1.106	0.9613	0.9358
2014-03-13	1.107	0.9704	0.9636
2014-03-14	1.108	0.9643	0.9534
2014-03-17	1.109	0.9712	0.9587
2014-03-18	1.109	0.9695	0.9654
2014-03-19	1.108	0.9635	0.9515
2014-03-20	1.108	0.9517	0.9297
2014-03-21	1.109	0.9766	0.9468
2014-03-24	1.111	0.9826	0.9489
2014-03-25	1.11	0.9819	0.9438
2014-03-26	1.109	0.9806	0.9381
2014-03-27	1.109	0.9756	0.9234
2014-03-28	1.109	0.9741	0.9111
2014-03-31	1.109	0.9721	0.9162
2014-04-01	1.111	0.9779	0.9333
2014-04-02	1.11	0.984	0.9351
2014-04-03	1.11	0.9786	0.9303
2014-04-04	1.112	0.9856	0.9393
2014-04-08	1.114	1.0035	0.9563
2014-04-09	1.113	1.0039	0.9598
2014-04-10	1.115	1.0158	0.9695
2014-04-11	1.117	1.0149	0.9808
2014-04-14	1.119	1.0142	0.9822
2014-04-15	1.12	1.0006	0.9729
2014-04-16	1.121	1.0016	0.9703
2014-04-17	1.124	0.999	0.9711
2014-04-18	1.125	0.9989	0.9742
2014-04-21	1.126	0.986	0.956
2014-04-22	1.126	0.9894	0.9555
2014-04-23	1.127	0.9887	0.9609
2014-04-24	1.127	0.9871	0.958
2014-04-25	1.129	0.9793	0.9311
2014-04-28	1.129	0.9669	0.9087
2014-04-29	1.128	0.9756	0.9219
2014-04-30	1.13	0.976	0.9299
2014-05-05	1.132	0.9752	0.9334
2014-05-06	1.133	0.9756	0.9357
2014-05-07	1.134	0.9685	0.9238
2014-05-08	1.136	0.9686	0.921
2014-05-09	1.141	0.968	0.916
