date	value_zq	value_hs300	value
2013-08-23	1.112	1.02	0.9991
2013-09-16	1.119	1.088	1.0051
2013-09-25	1.12	1.0708	1.0105
2013-10-09	1.122	1.0792	1.0419
2013-10-16	1.121	1.0678	1.0645
2013-10-23	1.121	1.0668	1.0556
2013-10-30	1.116	1.0635	1.0117
2013-11-06	1.117	1.0446	0.9795
2013-11-13	1.111	1.0218	0.9669
2013-11-20	1.102	1.0687	1.0093
2013-11-27	1.094	1.065	1.002
2013-12-04	1.098	1.0858	1.0186
2013-12-11	1.094	1.0642	1.0107
2013-12-18	1.091	1.0451	0.9811
2013-12-25	1.086	1.027	0.9769
2014-01-02	1.086	1.0327	0.9852
2014-01-09	1.081	0.9982	0.9426
2014-01-16	1.075	0.9949	0.9545
2014-01-23	1.078	1.0018	0.9545
2014-01-30	1.084	0.9916	0.9127
2014-02-13	1.093	1.0182	0.9509
2014-02-20	1.102	1.021	0.974
2014-02-27	1.109	0.9752	0.9091
2014-03-06	1.104	0.9818	0.9385
2014-03-13	1.107	0.9704	0.9636
2014-03-20	1.108	0.9517	0.9297
2014-03-27	1.109	0.9756	0.9234
2014-04-03	1.11	0.9786	0.9303
2014-04-11	1.117	1.0149	0.9808
2014-04-18	1.125	0.9989	0.9742
2014-04-25	1.129	0.9793	0.9311
2014-05-06	1.133	0.9756	0.9357
2014-05-13	1.144	0.9824	0.9333
2014-05-20	1.146	0.962	0.8955
2014-05-27	1.15	0.9739	0.9128
2014-06-04	1.159	0.9676	0.8939
2014-06-11	1.166	0.9792	0.9067
2014-06-18	1.164	0.9803	0.8985
2014-06-25	1.17	0.9743	0.9022
2014-07-02	1.174	0.9881	0.9188
2014-07-09	1.174	0.9813	0.9096
2014-07-16	1.178	0.9929	0.9433
2014-07-23	1.178	1.0045	0.9599
2014-07-30	1.185	1.0491	0.9875
2014-08-06	1.189	1.0637	1.0188
2014-08-13	1.195	1.0625	1.0242
2014-08-20	1.199	1.0653	1.033
2014-08-27	1.203	1.0514	1.0088
2014-09-03	1.209	1.0797	1.0451
2014-09-11	1.21	1.0845	1.0486
2014-09-18	1.213	1.0796	1.0422
2014-09-25	1.217	1.0893	1.051
2014-10-09	1.222	1.1048	1.0801
2014-10-16	1.229	1.0915	1.0438
2014-10-23	1.239	1.0745	1.0165
2014-10-30	1.253	1.1	1.0322
2014-11-06	1.267	1.1131	1.0158
2014-11-13	1.275	1.1392	1.0359
2014-11-20	1.268	1.1239	1.0308
2014-11-27	1.278	1.2003	1.0673
2014-12-04	1.289	1.3222	1.1406
2014-12-11	1.265	1.3482	1.1445
2014-12-18	1.258	1.4037	1.1372
2014-12-25	1.278	1.3987	1.144
2015-01-05	1.296	1.505	1.1984
2015-01-12	1.296	1.4608	1.1718
2015-01-19	1.298	1.4105	1.123
2015-01-26	1.313	1.496	1.1976
2015-02-02	1.304	1.4086	1.1536
2015-02-09	1.308	1.4059	1.1436
2015-02-16	1.318	1.4577	1.1972
2015-03-02	1.321	1.4921	1.224
2015-03-09	1.319	1.4687	1.2566
2015-03-16	1.323	1.5259	1.3032
2015-03-23	1.327	1.6183	1.362
2015-03-30	1.324	1.6585	1.4023
2015-04-07	1.326	1.7174	1.4838
2015-04-14	1.327	1.7783	1.538
2015-04-21	1.338	1.8384	1.6073
2015-04-28	1.341	1.8785	1.5755
2015-05-06	1.341	1.8164	1.5278
2015-05-13	1.348	1.8735	1.6416
2015-05-20	1.353	1.8868	1.6591
2015-05-27	1.357	2.0424	1.8689
2015-06-03	1.355	2.0332	1.861
2015-06-10	1.354	2.0813	1.9151
2015-06-17	1.348	2.0241	1.9045
2015-06-25	1.347	1.8792	1.7629
2015-07-02	1.345	1.6737	1.5
2015-07-09	1.344	1.5958	1.3789
2015-07-16	1.344	1.6379	1.4769
2015-07-23	1.35	1.7385	1.6103
2015-07-30	1.356	1.5781	1.4781
2015-08-06	1.364	1.5827	1.4852
2015-08-13	1.366	1.6713	1.5815
2015-08-20	1.369	1.5595	1.4919
2015-08-27	1.372	1.3525	1.3119
2015-09-07	1.379	1.3662	1.2682
2015-09-14	1.383	1.3793	1.2468
2015-09-21	1.386	1.3929	1.2642
2015-09-28	1.387	1.3716	1.2431
2015-10-12	1.391	1.4455	1.3164
2015-10-19	1.394	1.479	1.3543
2015-10-26	1.398	1.4992	1.3763
