	date	value
0	2012-03-21	1.0
1	2012-03-23	1.0
2	2012-03-26	1.001
3	2012-03-27	1.001
4	2012-03-28	1.001
5	2012-03-29	1.001
6	2012-03-30	1.002
7	2012-04-05	1.004
8	2012-04-06	1.005
9	2012-04-09	1.006
10	2012-04-10	1.007
11	2012-04-11	1.008
12	2012-04-12	1.009
13	2012-04-13	1.009
14	2012-04-16	1.01
15	2012-04-17	1.011
16	2012-04-18	1.012
17	2012-04-19	1.013
18	2012-04-20	1.013
19	2012-04-23	1.015
20	2012-04-24	1.017
21	2012-04-25	1.017
22	2012-04-26	1.018
23	2012-04-27	1.018
24	2012-05-02	1.019
25	2012-05-03	1.02
26	2012-05-04	1.021
27	2012-05-07	1.021
28	2012-05-08	1.021
29	2012-05-09	1.021
30	2012-05-10	1.022
31	2012-05-11	1.023
32	2012-05-14	1.025
33	2012-05-15	1.027
34	2012-05-16	1.028
35	2012-05-17	1.029
36	2012-05-18	1.03
37	2012-05-21	1.032
38	2012-05-22	1.032
39	2012-05-23	1.033
40	2012-05-24	1.034
41	2012-05-25	1.038
42	2012-05-28	1.04
43	2012-05-29	1.04
44	2012-05-30	1.041
45	2012-05-31	1.042
46	2012-06-01	1.042
47	2012-06-04	1.044
48	2012-06-05	1.045
49	2012-06-06	1.046
50	2012-06-07	1.047
51	2012-06-08	1.053
52	2012-06-11	1.053
53	2012-06-12	1.053
54	2012-06-13	1.053
55	2012-06-14	1.053
56	2012-06-15	1.054
57	2012-06-18	1.054
58	2012-06-19	1.052
59	2012-06-20	1.053
60	2012-06-21	1.054
61	2012-06-25	1.054
62	2012-06-26	1.054
63	2012-06-27	1.054
64	2012-06-28	1.054
65	2012-06-29	1.055
66	2012-06-30	1.055
67	2012-07-02	1.055
68	2012-07-03	1.056
69	2012-07-04	1.057
70	2012-07-05	1.061
71	2012-07-06	1.061
72	2012-07-09	1.062
73	2012-07-10	1.061
74	2012-07-11	1.061
75	2012-07-12	1.062
76	2012-07-13	1.063
77	2012-07-16	1.064
78	2012-07-17	1.063
79	2012-07-18	1.063
80	2012-07-19	1.063
81	2012-07-20	1.063
82	2012-07-23	1.063
83	2012-07-24	1.063
84	2012-07-25	1.062
85	2012-07-26	1.061
86	2012-07-27	1.061
87	2012-07-30	1.061
88	2012-07-31	1.06
89	2012-08-01	1.06
90	2012-08-02	1.059
91	2012-08-03	1.058
92	2012-08-06	1.057
93	2012-08-07	1.056
94	2012-08-08	1.055
95	2012-08-09	1.055
96	2012-08-10	1.053
97	2012-08-13	1.055
98	2012-08-14	1.054
99	2012-08-15	1.054
100	2012-08-16	1.054
101	2012-08-17	1.053
102	2012-08-20	1.05
103	2012-08-21	1.049
104	2012-08-22	1.047
105	2012-08-23	1.047
106	2012-08-24	1.047
107	2012-08-27	1.046
108	2012-08-28	1.045
109	2012-08-29	1.045
110	2012-08-30	1.044
111	2012-08-31	1.045
112	2012-09-03	1.044
113	2012-09-04	1.045
114	2012-09-05	1.045
115	2012-09-06	1.045
116	2012-09-07	1.045
117	2012-09-10	1.044
118	2012-09-11	1.042
119	2012-09-12	1.04
120	2012-09-13	1.041
121	2012-09-14	1.038
122	2012-09-17	1.037
123	2012-09-18	1.038
124	2012-09-19	1.038
125	2012-09-20	1.039
126	2012-09-21	1.038
127	2012-09-24	1.04
128	2012-09-25	1.041
129	2012-09-26	1.041
130	2012-09-27	1.042
131	2012-09-28	1.043
132	2012-09-30	1.044
133	2012-10-08	1.045
134	2012-10-09	1.044
135	2012-10-10	1.045
136	2012-10-11	1.047
137	2012-10-12	1.048
138	2012-10-15	1.049
139	2012-10-16	1.05
140	2012-10-17	1.05
141	2012-10-18	1.05
142	2012-10-19	1.049
143	2012-10-22	1.049
144	2012-10-23	1.048
145	2012-10-24	1.049
146	2012-10-25	1.049
147	2012-10-26	1.048
148	2012-10-29	1.048
149	2012-10-30	1.048
150	2012-10-31	1.049
151	2012-11-01	1.049
152	2012-11-02	1.049
153	2012-11-05	1.049
154	2012-11-06	1.05
155	2012-11-07	1.05
156	2012-11-08	1.05
157	2012-11-09	1.051
158	2012-11-12	1.051
159	2012-11-13	1.052
160	2012-11-14	1.054
161	2012-11-15	1.053
162	2012-11-16	1.054
163	2012-11-19	1.055
164	2012-11-20	1.055
165	2012-11-21	1.054
166	2012-11-22	1.054
167	2012-11-23	1.054
168	2012-11-26	1.055
169	2012-11-27	1.055
170	2012-11-28	1.057
171	2012-11-29	1.057
172	2012-11-30	1.057
173	2012-12-03	1.056
174	2012-12-04	1.056
175	2012-12-05	1.056
176	2012-12-06	1.056
177	2012-12-07	1.058
178	2012-12-10	1.06
179	2012-12-11	1.06
180	2012-12-12	1.06
