曲线名称	日期	3月	6月	1年	3年	5年	7年	10年	30年
中债国债收益率曲线	2019-03-15	2.1529	2.2311	2.4632	2.7830	3.0625	3.1595	3.1376	3.7276
中债商业银行普通债收益率曲线(AAA)	2019-03-15	2.7904	2.9438	3.0700	3.5392	3.8928	4.1487	4.3056	4.5504
中债中短期票据收益率曲线(AAA)	2019-03-15	2.9119	3.0862	3.2613	3.7100	4.0313	4.2552	4.4390
中债国债收益率曲线	2019-03-14	2.1556	2.2322	2.4719	2.8280	3.0641	3.1646	3.1475	3.7332
中债商业银行普通债收益率曲线(AAA)	2019-03-14	2.7799	2.9367	3.0700	3.5323	3.8680	4.1489	4.3083	4.5531
中债中短期票据收益率曲线(AAA)	2019-03-14	2.8862	3.0445	3.2500	3.6886	4.0066	4.2554	4.4417
中债国债收益率曲线	2019-03-13	2.0010	2.2052	2.4705	2.8201	3.0539	3.1643	3.1375	3.7232
中债商业银行普通债收益率曲线(AAA)	2019-03-13	2.7780	2.9048	3.0800	3.4941	3.8480	4.1400	4.2993	4.5542
中债中短期票据收益率曲线(AAA)	2019-03-13	2.8763	3.0373	3.2340	3.6504	3.9862	4.2465	4.4328
中债国债收益率曲线	2019-03-12	2.0060	2.1570	2.4613	2.8274	3.0536	3.1718	3.1424	3.7231
中债商业银行普通债收益率曲线(AAA)	2019-03-12	2.7809	2.8808	3.0800	3.4941	3.8314	4.1316	4.2828	4.5550
中债中短期票据收益率曲线(AAA)	2019-03-12	2.8688	3.0413	3.2237	3.6451	4.0078	4.2486	4.4162
中债国债收益率曲线	2019-03-11	1.9302	2.1570	2.4471	2.8226	3.0275	3.1668	3.1374	3.7222
中债商业银行普通债收益率曲线(AAA)	2019-03-11	2.7499	2.8416	3.0400	3.4649	3.8269	4.1374	4.2831	4.5554
中债中短期票据收益率曲线(AAA)	2019-03-11	2.9308	3.0498	3.2237	3.6376	3.9799	4.2353	4.4020
中债国债收益率曲线	2019-03-08	1.9539	2.1081	2.4503	2.8031	3.0284	3.1646	3.1423	3.7272
中债商业银行普通债收益率曲线(AAA)	2019-03-08	2.7625	2.8417	3.0309	3.4617	3.8198	4.1551	4.2857	4.5540
中债中短期票据收益率曲线(AAA)	2019-03-08	2.9309	3.0651	3.2307	3.6416	3.9836	4.2491	4.4046
中债国债收益率曲线	2019-03-07	1.9626	2.2041	2.4532	2.8430	3.0454	3.1697	3.1572	3.7423
中债商业银行普通债收益率曲线(AAA)	2019-03-07	2.7002	2.8112	3.0409	3.5104	3.8697	4.1542	4.2874	4.5518
中债中短期票据收益率曲线(AAA)	2019-03-07	2.9344	3.0628	3.2413	3.6736	4.0335	4.2482	4.4063
中债国债收益率曲线	2019-03-06	2.0013	2.2229	2.4486	2.8519	3.0893	3.2098	3.2021	3.7623
中债商业银行普通债收益率曲线(AAA)	2019-03-06	2.7200	2.8152	3.0309	3.4868	3.8907	4.1577	4.2785	4.5617
中债中短期票据收益率曲线(AAA)	2019-03-06	2.9149	3.0417	3.2335	3.6897	4.0726	4.2681	4.3974
中债国债收益率曲线	2019-03-05	2.0273	2.2626	2.4431	2.8320	3.0990	3.1980	3.2149	3.7619
中债商业银行普通债收益率曲线(AAA)	2019-03-05	2.7082	2.8135	3.0309	3.4748	3.8552	4.1389	4.2904	4.5735
中债中短期票据收益率曲线(AAA)	2019-03-05	2.9012	2.9934	3.2083	3.6627	4.0371	4.2494	4.4093
中债国债收益率曲线	2019-03-04	1.9630	2.2578	2.4442	2.8132	3.0691	3.1864	3.2023	3.7560
中债商业银行普通债收益率曲线(AAA)	2019-03-04	2.6988	2.7854	3.0109	3.4806	3.8384	4.1222	4.2736	4.5732
中债中短期票据收益率曲线(AAA)	2019-03-04	2.8847	2.9629	3.1822	3.6523	4.0203	4.2326	4.3925
中债国债收益率曲线	2019-03-01	2.0102	2.2808	2.4338	2.7896	3.0689	3.1765	3.1870	3.7472
中债商业银行普通债收益率曲线(AAA)	2019-03-01	2.6753	2.8106	3.0118	3.4396	3.7914	4.0990	4.2504	4.5800
中债中短期票据收益率曲线(AAA)	2019-03-01	2.8794	2.9278	3.1508	3.6113	3.9733	4.2094	4.3693
中债国债收益率曲线	2019-02-28	2.1346	2.2557	2.4053	2.7597	3.0466	3.1464	3.1731	3.7517
中债商业银行普通债收益率曲线(AAA)	2019-02-28	2.7014	2.8197	3.0018	3.4452	3.7914	4.0981	4.2304	4.5730
中债中短期票据收益率曲线(AAA)	2019-02-28	2.9076	2.9658	3.1439	3.5936	3.9733	4.2084	4.3493
中债国债收益率曲线	2019-02-27	2.1495	2.2789	2.3900	2.7687	3.0343	3.1331	3.1689	3.7417
中债商业银行普通债收益率曲线(AAA)	2019-02-27	2.7620	2.8695	3.0013	3.4352	3.7699	4.0766	4.2089	4.5514
中债中短期票据收益率曲线(AAA)	2019-02-27	2.9276	3.0073	3.1547	3.6039	3.9518	4.1870	4.3278
中债国债收益率曲线	2019-02-26	2.1883	2.2425	2.3546	2.7708	3.0473	3.1593	3.1878	3.7617
中债商业银行普通债收益率曲线(AAA)	2019-02-26	2.8002	2.9060	3.0314	3.4173	3.7752	4.0843	4.2166	4.5681
中债中短期票据收益率曲线(AAA)	2019-02-26	2.9253	3.0147	3.1365	3.5980	3.9314	4.1947	4.3355
中债国债收益率曲线	2019-02-25	2.0525	2.2257	2.3440	2.7331	2.9956	3.1392	3.1787	3.7467
中债商业银行普通债收益率曲线(AAA)	2019-02-25	2.6792	2.8045	2.9856	3.3495	3.7309	4.0365	4.1691	4.5206
中债中短期票据收益率曲线(AAA)	2019-02-25	2.8472	2.9155	3.0845	3.5302	3.8864	4.1469	4.2880
中债国债收益率曲线	2019-02-22	2.0366	2.2084	2.3592	2.7013	2.9253	3.0833	3.1451	3.7050
中债商业银行普通债收益率曲线(AAA)	2019-02-22	2.6608	2.7784	3.0010	3.3511	3.7471	4.0377	4.1703	4.5208
中债中短期票据收益率曲线(AAA)	2019-02-22	2.8157	2.9208	3.0703	3.4954	3.8567	4.1381	4.2792
中债国债收益率曲线	2019-02-21	2.0509	2.2020	2.3356	2.6895	2.9190	3.0732	3.1361	3.7290
中债商业银行普通债收益率曲线(AAA)	2019-02-21	2.6605	2.7732	2.9515	3.3671	3.7380	4.0286	4.1590	4.5155
中债中短期票据收益率曲线(AAA)	2019-02-21	2.8036	2.9048	3.0601	3.4877	3.8328	4.1290	4.2679
中债国债收益率曲线	2019-02-20	2.0611	2.1804	2.3053	2.6932	2.9063	3.0642	3.1196	3.7265
中债商业银行普通债收益率曲线(AAA)	2019-02-20	2.6486	2.7719	2.9820	3.3436	3.7263	4.0137	4.1441	4.5157
中债中短期票据收益率曲线(AAA)	2019-02-20	2.8463	2.9288	3.0686	3.4857	3.8179	4.1141	4.2530
中债国债收益率曲线	2019-02-19	2.0619	2.2056	2.3141	2.6732	2.9145	3.0696	3.1279	3.7215
中债商业银行普通债收益率曲线(AAA)	2019-02-19	2.6443	2.7972	2.9754	3.3551	3.7278	4.0159	4.1466	4.5092
中债中短期票据收益率曲线(AAA)	2019-02-19	2.8275	2.9368	3.0856	3.4855	3.8211	4.1163	4.2555
中债国债收益率曲线	2019-02-18	2.0626	2.2099	2.3206	2.6732	2.9090	3.0602	3.1094	3.7322
中债商业银行普通债收益率曲线(AAA)	2019-02-18	2.6468	2.7665	2.9745	3.3387	3.7278	4.0110	4.1478	4.5066
中债中短期票据收益率曲线(AAA)	2019-02-18	2.8121	2.9236	3.0784	3.4691	3.8211	4.1115	4.2567
中债国债收益率曲线	2019-02-15	2.0058	2.2637	2.3094	2.6533	2.8794	3.0300	3.0794	3.7155
中债商业银行普通债收益率曲线(AAA)	2019-02-15	2.6317	2.7505	2.9713	3.3095	3.6895	3.9960	4.1328	4.4916
中债中短期票据收益率曲线(AAA)	2019-02-15	2.8392	2.9272	3.0763	3.4599	3.8009	4.0965	4.2417
中债国债收益率曲线	2019-02-14	2.1639	2.2618	2.3130	2.6631	2.8779	3.0413	3.0726	3.7105
中债商业银行普通债收益率曲线(AAA)	2019-02-14	2.6277	2.7505	2.9840	3.2988	3.7055	3.9852	4.1219	4.4807
中债中短期票据收益率曲线(AAA)	2019-02-14	2.8040	2.9561	3.0870	3.5015	3.8025	4.0856	4.2308
中债国债收益率曲线	2019-02-13	2.1752	2.2689	2.3251	2.6424	2.8746	3.0327	3.0719	3.7007
中债商业银行普通债收益率曲线(AAA)	2019-02-13	2.6237	2.7794	2.9992	3.3249	3.7237	3.9846	4.1186	4.4600
中债中短期票据收益率曲线(AAA)	2019-02-13	2.8786	2.9590	3.1105	3.5152	3.8241	4.0851	4.2275
中债国债收益率曲线	2019-02-12	2.1853	2.2815	2.3053	2.6493	2.8643	3.0458	3.0748	3.7107
中债商业银行普通债收益率曲线(AAA)	2019-02-12	2.6940	2.7813	3.0003	3.3347	3.7443	3.9862	4.1011	4.4575
中债中短期票据收益率曲线(AAA)	2019-02-12	2.8890	2.9856	3.1376	3.5033	3.8453	4.0866	4.2100
中债国债收益率曲线	2019-02-11	2.2041	2.2905	2.3381	2.6722	2.8754	3.0444	3.0670	3.7107
中债商业银行普通债收益率曲线(AAA)	2019-02-11	2.7252	2.7955	3.0236	3.3530	3.7627	3.9876	4.0921	4.4556
中债中短期票据收益率曲线(AAA)	2019-02-11	2.8844	2.9995	3.1522	3.5269	3.8637	4.0880	4.2010
中债国债收益率曲线	2019-02-03	2.2062	2.3127	2.3506	2.6805	2.8923	3.0386	3.0967	3.7121
中债商业银行普通债收益率曲线(AAA)	2019-02-03	2.7392	2.7562	3.0356	3.3567	3.7544	4.0082	4.1127	4.4762
中债中短期票据收益率曲线(AAA)	2019-02-03	2.9419	3.0392	3.1932	3.5306	3.8554	4.1087	4.2216
中债国债收益率曲线	2019-02-02	2.2062	2.3127	2.3510	2.6825	2.8907	3.0481	3.0978	3.7194
中债商业银行普通债收益率曲线(AAA)	2019-02-02	2.7392	2.7562	3.0337	3.3597	3.7528	4.0177	4.1138	4.4804
中债中短期票据收益率曲线(AAA)	2019-02-02	2.9419	3.0392	3.1936	3.5326	3.8538	4.1182	4.2227
中债国债收益率曲线	2019-02-01	2.2062	2.3152	2.3510	2.6874	2.9006	3.0512	3.1032	3.7256
中债商业银行普通债收益率曲线(AAA)	2019-02-01	2.7831	2.8001	3.0107	3.3617	3.7549	4.0201	4.1164	4.4830
中债中短期票据收益率曲线(AAA)	2019-02-01	2.9400	3.0283	3.1925	3.5346	3.8559	4.1206	4.2253
中债国债收益率曲线	2019-01-31	2.2051	2.3147	2.3873	2.6885	2.8943	3.0485	3.1037	3.7231
中债商业银行普通债收益率曲线(AAA)	2019-01-31	2.8273	2.8634	3.0259	3.3612	3.7768	4.0251	4.1189	4.4855
中债中短期票据收益率曲线(AAA)	2019-01-31	2.9653	3.0785	3.2005	3.5624	3.8778	4.1255	4.2278
中债国债收益率曲线	2019-01-30	2.2356	2.3433	2.3803	2.6807	2.9207	3.0496	3.1151	3.7304
中债商业银行普通债收益率曲线(AAA)	2019-01-30	2.8442	2.9297	3.1016	3.4066	3.7926	4.0274	4.1179	4.4881
中债中短期票据收益率曲线(AAA)	2019-01-30	2.9927	3.0882	3.2314	3.5685	3.8936	4.1278	4.2258
中债国债收益率曲线	2019-01-29	2.2129	2.3314	2.3877	2.6983	2.9403	3.0638	3.1246	3.7342
中债商业银行普通债收益率曲线(AAA)	2019-01-29	2.8369	2.9361	3.0959	3.4556	3.7946	4.0296	4.1071	4.4772
中债中短期票据收益率曲线(AAA)	2019-01-29	2.9808	3.1277	3.2472	3.5705	3.8761	4.1300	4.2150
中债国债收益率曲线	2019-01-28	2.2787	2.3660	2.3961	2.7373	2.9635	3.0785	3.1397	3.7655
中债商业银行普通债收益率曲线(AAA)	2019-01-28	2.8204	2.9494	3.0846	3.4495	3.7946	4.0314	4.1096	4.4797
中债中短期票据收益率曲线(AAA)	2019-01-28	2.9265	3.1322	3.2321	3.5775	3.8832	4.1319	4.2175
中债国债收益率曲线	2019-01-25	2.2851	2.3692	2.3804	2.7497	2.9475	3.0738	3.1398	3.7534
中债商业银行普通债收益率曲线(AAA)	2019-01-25	2.8785	2.9816	3.0929	3.4182	3.7831	4.0200	4.0981	4.4673
中债中短期票据收益率曲线(AAA)	2019-01-25	2.9634	3.1335	3.2532	3.5689	3.8717	4.1205	4.2060
中债国债收益率曲线	2019-01-24	2.3093	2.3878	2.4004	2.7339	2.9268	3.0731	3.1338	3.7409
中债商业银行普通债收益率曲线(AAA)	2019-01-24	2.8594	2.9696	3.0884	3.3907	3.7831	4.0214	4.0995	4.4687
中债中短期票据收益率曲线(AAA)	2019-01-24	2.9840	3.0990	3.2323	3.5519	3.8717	4.1219	4.2074
中债国债收益率曲线	2019-01-23	2.3097	2.3936	2.4099	2.7326	2.9258	3.0579	3.1190	3.7179
中债商业银行普通债收益率曲线(AAA)	2019-01-23	2.8499	2.9746	3.0909	3.4195	3.7622	4.0005	4.0786	4.4538
中债中短期票据收益率曲线(AAA)	2019-01-23	2.9507	3.0631	3.1842	3.5459	3.8508	4.1009	4.1865
中债国债收益率曲线	2019-01-22	2.3256	2.3990	2.3999	2.7225	2.9437	3.0699	3.1071	3.7154
中债商业银行普通债收益率曲线(AAA)	2019-01-22	2.8389	2.9700	3.1010	3.4414	3.7521	3.9926	4.0878	4.4500
中债中短期票据收益率曲线(AAA)	2019-01-22	2.9886	3.0985	3.1972	3.5470	3.8511	4.0981	4.1957
中债国债收益率曲线	2019-01-21	2.3453	2.3860	2.4209	2.7202	2.9499	3.0828	3.1037	3.7104
中债商业银行普通债收益率曲线(AAA)	2019-01-21	2.8277	2.9520	3.1055	3.4213	3.7366	3.9726	4.0678	4.4551
中债中短期票据收益率曲线(AAA)	2019-01-21	2.9612	3.0735	3.1940	3.5238	3.8235	4.0780	4.1757
中债国债收益率曲线	2019-01-18	2.2924	2.4129	2.3498	2.7061	2.9410	3.0791	3.0910	3.7105
中债商业银行普通债收益率曲线(AAA)	2019-01-18	2.7661	2.9553	3.0833	3.4254	3.7449	3.9657	4.0609	4.4632
中债中短期票据收益率曲线(AAA)	2019-01-18	2.9197	3.0913	3.1938	3.4977	3.8004	4.0711	4.1688
中债国债收益率曲线	2019-01-17	2.3078	2.3748	2.3500	2.6873	2.8983	3.0573	3.0760	3.6904
中债商业银行普通债收益率曲线(AAA)	2019-01-17	2.7655	2.9462	3.0839	3.4297	3.7426	3.9610	4.0546	4.4634
中债中短期票据收益率曲线(AAA)	2019-01-17	2.9438	3.0980	3.2724	3.5163	3.8172	4.0663	4.1625
中债国债收益率曲线	2019-01-16	2.3198	2.3856	2.3600	2.7457	2.9047	3.0776	3.0745	3.6779
中债商业银行普通债收益率曲线(AAA)	2019-01-16	2.8550	2.9995	3.1105	3.4456	3.7722	3.9668	4.0609	4.4697
中债中短期票据收益率曲线(AAA)	2019-01-16	2.9965	3.1220	3.3039	3.5693	3.8445	4.0721	4.1688
中债国债收益率曲线	2019-01-15	2.2992	2.3874	2.4345	2.7922	2.9484	3.1219	3.1383	3.7407
中债商业银行普通债收益率曲线(AAA)	2019-01-15	2.9210	3.0026	3.1109	3.4629	3.7989	3.9689	4.0634	4.4802
中债中短期票据收益率曲线(AAA)	2019-01-15	3.0278	3.1129	3.2992	3.5570	3.8674	4.0742	4.1713
中债国债收益率曲线	2019-01-14	2.3013	2.3859	2.4260	2.7927	2.9496	3.1075	3.1297	3.7257
中债商业银行普通债收益率曲线(AAA)	2019-01-14	2.7887	3.0503	3.1179	3.4329	3.7720	3.9589	4.0534	4.4602
中债中短期票据收益率曲线(AAA)	2019-01-14	2.9799	3.0855	3.2750	3.5400	3.8355	4.0642	4.1613
中债国债收益率曲线	2019-01-11	2.2684	2.3864	2.4065	2.7920	2.9100	3.0939	3.1058	3.7157
中债商业银行普通债收益率曲线(AAA)	2019-01-11	2.6906	3.0547	3.1005	3.4423	3.7511	3.9713	4.0539	4.4537
中债中短期票据收益率曲线(AAA)	2019-01-11	2.9437	3.1040	3.2557	3.5349	3.8038	4.0766	4.1618
中债国债收益率曲线	2019-01-10	2.3520	2.3861	2.3627	2.7736	2.8954	3.1050	3.1006	3.7182
中债商业银行普通债收益率曲线(AAA)	2019-01-10	2.6889	2.9979	3.1038	3.4487	3.7368	3.9832	4.0552	4.4618
中债中短期票据收益率曲线(AAA)	2019-01-10	2.9011	3.0935	3.2623	3.5502	3.7986	4.0885	4.1631
中债国债收益率曲线	2019-01-09	2.3439	2.4000	2.3777	2.7604	2.8745	3.1010	3.1106	3.7007
中债商业银行普通债收益率曲线(AAA)	2019-01-09	2.7525	3.0251	3.1007	3.4905	3.7413	3.9860	4.0580	4.4336
中债中短期票据收益率曲线(AAA)	2019-01-09	2.9116	3.1003	3.2719	3.5462	3.8031	4.0913	4.1659
中债国债收益率曲线	2019-01-08	2.3116	2.3501	2.3528	2.7530	2.8796	3.0836	3.1211	3.6757
中债商业银行普通债收益率曲线(AAA)	2019-01-08	2.8108	3.0244	3.1041	3.5235	3.7413	3.9909	4.0608	4.4365
中债中短期票据收益率曲线(AAA)	2019-01-08	2.9167	3.1454	3.3730	3.5836	3.8031	4.0962	4.1687
中债国债收益率曲线	2019-01-07	2.3409	2.4534	2.4026	2.7917	2.9303	3.1272	3.1507	3.7007
中债商业银行普通债收益率曲线(AAA)	2019-01-07	2.7765	3.0899	3.1500	3.5638	3.7754	4.0310	4.1009	4.4715
中债中短期票据收益率曲线(AAA)	2019-01-07	2.9445	3.2007	3.3898	3.6213	3.8583	4.1363	4.2088
中债国债收益率曲线	2019-01-04	2.3251	2.4370	2.4525	2.7922	2.8850	3.1040	3.1513	3.7007
中债商业银行普通债收益率曲线(AAA)	2019-01-04	2.7335	3.1485	3.2246	3.5877	3.8290	4.0613	4.1312	4.5018
