日期	收盘	开盘	高	低	百分比变化
2019年5月3日	6.7346	6.7346	6.7346	6.7346	0.00%
2019年5月2日	6.7346	6.7348	6.7348	6.7325	-0.00%
2019年5月1日	6.7349	6.7369	6.7369	6.7349	0.00%
2019年4月30日	6.7349	6.7328	6.7418	6.7311	0.02%
2019年4月29日	6.7336	6.7292	6.7364	6.7265	0.06%
2019年4月26日	6.7298	6.7436	6.7436	6.7263	-0.20%
2019年4月25日	6.7431	6.7222	6.7496	6.7222	0.32%
2019年4月24日	6.7219	6.7251	6.7259	6.7145	-0.06%
2019年4月23日	6.7259	6.7114	6.7276	6.7084	0.21%
2019年4月22日	6.7120	6.7036	6.7149	6.7023	0.12%
2019年4月19日	6.7042	6.7063	6.7074	6.7001	-0.07%
2019年4月18日	6.7091	6.6871	6.7095	6.6845	0.31%
2019年4月17日	6.6882	6.7108	6.7116	6.6841	-0.36%
2019年4月16日	6.7122	6.7081	6.7134	6.7054	0.05%
2019年4月15日	6.7086	6.7043	6.7110	6.7036	0.06%
2019年4月12日	6.7044	6.7194	6.7235	6.6989	-0.22%
2019年4月11日	6.7194	6.7132	6.7197	6.7103	0.05%
2019年4月10日	6.7160	6.7176	6.7188	6.7099	0.06%
2019年4月9日	6.7119	6.7127	6.7195	6.7079	-0.07%
2019年4月8日	6.7164	6.7144	6.7218	6.7110	-0.04%
2019年4月5日	6.7190	6.7190	6.7190	6.7190	0.02%
2019年4月4日	6.7174	6.7080	6.7203	6.7077	0.09%
2019年4月3日	6.7114	6.7229	6.7229	6.7050	-0.18%
2019年4月2日	6.7233	6.7176	6.7252	6.7149	0.18%
2019年4月1日	6.7115	6.7125	6.7144	6.7003	-0.01%
2019年3月29日	6.7120	6.7336	6.7364	6.7066	-0.40%
2019年3月28日	6.7390	6.7267	6.7408	6.7207	0.18%
2019年3月27日	6.7271	6.7130	6.7278	6.7111	0.17%
2019年3月26日	6.7157	6.7071	6.7167	6.7026	0.09%
2019年3月25日	6.7094	6.7211	6.7214	6.7053	-0.13%
2019年3月22日	6.7181	6.7028	6.7183	6.6974	0.28%
2019年3月21日	6.6993	6.6806	6.7001	6.6726	0.07%
2019年3月20日	6.6946	6.7187	6.7198	6.6941	-0.26%
2019年3月19日	6.7119	6.7145	6.7211	6.7095	-0.02%
2019年3月18日	6.7130	6.7138	6.7180	6.7081	-0.01%
2019年3月15日	6.7138	6.7222	6.7302	6.7069	-0.14%
2019年3月14日	6.7230	6.7077	6.7299	6.7031	0.24%
2019年3月13日	6.7071	6.7053	6.7123	6.7026	-0.02%
2019年3月12日	6.7085	6.7241	6.7241	6.7038	-0.27%
2019年3月11日	6.7265	6.7244	6.7315	6.7224	0.07%
2019年3月8日	6.7216	6.7260	6.7267	6.7168	0.10%
2019年3月7日	6.7149	6.7082	6.7150	6.7034	0.04%
2019年3月6日	6.7119	6.7064	6.7201	6.7032	0.06%
2019年3月5日	6.7076	6.7077	6.7085	6.6970	0.00%
2019年3月4日	6.7073	6.7086	6.7086	6.6868	0.01%
2019年3月1日	6.7064	6.6943	6.7112	6.6942	0.18%
2019年2月28日	6.6941	6.6876	6.6943	6.6790	0.10%
2019年2月27日	6.6872	6.6937	6.6984	6.6783	-0.19%
2019年2月26日	6.7002	6.6893	6.7066	6.6893	0.16%
2019年2月25日	6.6894	6.7167	6.7167	6.6768	-0.37%
2019年2月22日	6.7142	6.7314	6.7368	6.7114	-0.08%
2019年2月21日	6.7198	6.7199	6.7263	6.6887	-0.02%
2019年2月20日	6.7213	6.7374	6.7415	6.7139	-0.55%
2019年2月19日	6.7587	6.7729	6.7825	6.7564	-0.12%
2019年2月18日	6.7667	6.7725	6.7725	6.7526	-0.09%
2019年2月15日	6.7730	6.7757	6.7864	6.7684	0.01%
2019年2月14日	6.7721	6.7676	6.7779	6.7583	0.17%
2019年2月13日	6.7604	6.7584	6.7665	6.7506	-0.20%
