,中欧医疗健康混合A,汇添富中证主要消费ETF,国泰纳斯达克100ETF,组合1,组合2
2016-09-29,1.0,1.0,1.0,1.0,1.0
2016-09-30,1.0,1.0087037169151745,1.0087822014051524,1.0087429591601635,1.0058286394401088
2016-10-14,1.002,1.0258257829778126,1.0,1.0129128914889063,1.0092752609926041
2016-10-21,0.997,1.0256830990939574,1.0146370023419204,1.020160050717939,1.0124400338119592
2016-10-28,0.991,1.0510808304202042,1.0087822014051524,1.0299315159126783,1.0169543439417854
2016-10-31,0.993,1.0522223014910468,1.0046838407494145,1.0284530711202307,1.0166353807468202
2016-11-01,0.995,1.0598558892773062,0.9994145199063232,1.0296352045918147,1.0180901363945432
2016-11-02,0.993,1.0515802240136978,0.9882903981264637,1.0199353110700806,1.0109568740467205
2016-11-03,0.991,1.0539345080973106,0.9783372365339579,1.0161358723156342,1.0077572482104227
2016-11-04,0.99,1.049868017407434,0.974824355971897,1.0123461866896655,1.0048974577931102
2016-11-07,0.989,1.0486552043946638,1.0011709601873535,1.0249130822910086,1.0129420548606722
2016-11-08,0.99,1.0565028180067062,1.0087822014051524,1.0326425097059293,1.0184283398039526
2016-11-09,0.983,1.0477991010915317,1.013466042154567,1.0306325716230493,1.0147550477486995
2016-11-10,0.988,1.05821502461297,0.9982435597189696,1.0282292921659697,1.0148195281106465
2016-11-11,0.985,1.0570735535421274,1.0017564402810306,1.0294149969115791,1.0146099979410526
2016-11-14,0.984,1.0512948562459872,0.9935597189695551,1.0224272876077711,1.009618191738514
2016-11-15,0.985,1.0598558892773062,1.0105386416861826,1.0351972654817443,1.0184648436544963
2016-11-16,0.983,1.0562887921809232,1.0175644028103044,1.0369265974956137,1.0189510649970757
2016-11-17,0.982,1.0551473211100808,1.0263466042154565,1.0407469626627686,1.021164641775179
2016-11-18,0.978,1.0505100948847828,1.0240046838407495,1.0372573893627661,1.0175049262418439
2016-11-21,0.981,1.0475850752657487,1.0374707259953162,1.0425279006305326,1.0220186004203549
2016-11-22,0.988,1.0488692302204465,1.0374707259953162,1.0431699781078814,1.0247799854052542
2016-11-23,0.985,1.0530784047941786,1.035128805620609,1.0441036052073938,1.0244024034715957
2016-11-25,0.994,1.0657059285153743,1.0421545667447307,1.0539302476300525,1.033953498420035
2016-11-28,0.995,1.0649925090960977,1.0380562060889928,1.0515243575925453,1.0326829050616968
2016-11-29,0.988,1.083969465648855,1.0392271662763466,1.0615983159626008,1.0370655439750671
2016-11-30,0.978,1.0715559677534423,1.0257611241217799,1.0486585459376112,1.0251056972917407
2016-12-01,0.98,1.0766212456303061,1.0105386416861826,1.0435799436582442,1.0223866291054962
2016-12-02,0.966,1.0622101733609188,1.009367681498829,1.035788927429874,1.0125259516199159
2016-12-05,0.962,1.049225939930085,1.0181498829039815,1.0336879114170332,1.0097919409446887
2016-12-06,0.96,1.056574159948634,1.0163934426229508,1.0364838012857924,1.0109892008571948
2016-12-07,0.968,1.0684169223086253,1.0327868852459017,1.0506019037772636,1.023067935851509
2016-12-08,0.965,1.070985232218021,1.0333723653395783,1.0521787987787996,1.0231191991858664
2016-12-09,0.968,1.0702004708568167,1.044496487119438,1.0573484789881273,1.0275656526587515
2016-12-12,0.946,1.0415210102018977,1.0421545667447307,1.0418377884733143,1.0098918589822095
2016-12-13,0.943,1.0581436826710424,1.0532786885245902,1.0557111855978163,1.0181407903985442
2016-12-14,0.939,1.049653991581651,1.0515222482435598,1.0505881199126055,1.0133920799417369
2016-12-15,0.928,1.04480273953057,1.0573770491803278,1.051089894355449,1.0100599295702992
2016-12-16,0.928,1.0480131269173147,1.056791569086651,1.0524023480019828,1.0109348986679887
2016-12-19,0.931,1.052793037026468,1.0579625292740047,1.0553777831502362,1.0139185221001576
2016-12-20,0.93,1.044017978169366,1.0638173302107727,1.0539176541900694,1.0126117694600463
2016-12-21,0.932,1.0499393593493616,1.063231850117096,1.056585604733229,1.0150570698221526
2016-12-22,0.933,1.0461582364271955,1.0591334894613582,1.052645862944277,1.012763908629518
2016-12-23,0.928,1.032674609402868,1.0608899297423888,1.0467822695726285,1.0071881797150857
2016-12-27,0.929,1.0373831775700935,1.0655737704918034,1.0514784740309484,1.0106523160206322
2016-12-28,0.924,1.0310337447385318,1.0579625292740047,1.0444981370062683,1.0043320913375122
2016-12-29,0.918,1.0334593707640722,1.0562060889929743,1.0448327298785234,1.002555153252349
2016-12-30,0.927,1.0447313975886423,1.0433255269320842,1.0440284622603633,1.005018974840242
2016-12-31,0.927,1.0447313975886423,1.0433255269320842,1.0440284622603633,1.005018974840242
2017-01-03,0.934,1.0507241207105658,1.0550351288056206,1.0528796247580932,1.013253083172062
2017-01-04,0.938,1.072697438824285,1.0608899297423888,1.0667936842833368,1.0238624561888912
2017-01-05,0.94,1.069701077263323,1.063231850117096,1.0664664636902095,1.024310975793473
2017-01-06,0.932,1.0679888706570595,1.0626463700234192,1.0653176203402395,1.0208784135601596
2017-01-09,0.935,1.0678461867732039,1.0749414519906324,1.0713938193819181,1.0259292129212787
2017-01-10,0.933,1.0681315545409147,1.0766978922716628,1.0724147234062889,1.0259431489375257
2017-01-11,0.928,1.0561461082970678,1.079625292740047,1.0678857005185574,1.0212571336790384
2017-01-12,0.92,1.048583862452736,1.0766978922716628,1.0626408773621994,1.0150939182414662
2017-01-13,0.914,1.040593564956838,1.0766978922716628,1.0586457286142505,1.0104304857428335
2017-01-17,0.918,1.045444817007919,1.0749414519906324,1.0601931344992757,1.012795422999517
2017-01-18,0.92,1.0560747663551402,1.069672131147541,1.0628734487513407,1.015248965834227
2017-01-19,0.915,1.0524363273168296,1.069672131147541,1.0610542292321852,1.01236948615479
2017-01-20,0.924,1.0595705215095956,1.0737704918032787,1.066670506656437,1.0191136711042914
2017-01-23,0.928,1.0621388314189912,1.0725995316159251,1.0673691815174582,1.0209127876783053
2017-01-24,0.925,1.0627095669544127,1.076112412177986,1.0694109895661992,1.0212739930441328
2017-01-25,0.932,1.0622815153028466,1.0901639344262295,1.0762227248645382,1.0281484832430254
2017-01-26,0.936,1.060283940928872,1.0913348946135832,1.0758094177712276,1.0292062785141518
2017-02-03,0.936,1.056574159948634,1.0919203747072599,1.074247267327947,1.028164844885298
2017-02-06,0.937,1.060926018406221,1.0936768149882905,1.0773014166972557,1.0305342777981705
2017-02-07,0.941,1.0585717343226082,1.0977751756440282,1.0781734549833182,1.0324489699888786
2017-02-08,0.941,1.063208960547906,1.1036299765807962,1.083419468564351,1.035946312376234
2017-02-09,0.939,1.0702004708568167,1.10480093676815,1.0875007038124833,1.0380004692083222
2017-02-10,0.938,1.0737675679531997,1.1094847775175645,1.0916261727353822,1.0404174484902546
2017-02-13,0.948,1.0919597631447528,1.117096018735363,1.1045278909400578,1.0523519272933717
2017-02-14,0.943,1.0909609759577656,1.1194379391100702,1.105199457533918,1.0511329716892786
2017-02-15,0.931,1.0828279945780124,1.1229508196721312,1.1028894071250717,1.0455929380833813
2017-02-16,0.941,1.0855389883712636,1.1223653395784543,1.103952163974859,1.0496347759832392
2017-02-17,0.932,1.0874652208033102,1.1247072599531616,1.1060862403782359,1.0480574935854905
