,中欧医疗健康混合A,兴全合润,华夏上证50ETF,华安创业板50ETF,华安德国30(DAX)ETF,华泰柏瑞沪深300ETF,南方中证500ETF,博时标普500ETF,嘉实港股通新经济指数A,嘉实稳祥纯债债券A,嘉实超短债债券C,国泰纳斯达克100ETF,天弘中证食品饮料指数A,天弘越南市场股票(QDII)A,富国中证消费50ETF,富国天惠成长混合LOF,工银印度基金人民币,广发稳健增长混合A,招商中证白酒A,招商产业债券A,招商产业债券C,招商双债增强债券(LOF)C,易方达上证50增强A,易方达上证科创板50成份ETF,易方达中小盘混合,易方达中概互联50ETF,易方达中证科创创业50ETF,易方达中证科技50ETF,易方达亚洲精选,易方达创业板ETF,易方达安心回馈混合,易方达恒生国企ETF,易方达恒生科技,易方达日经225ETF,易方达标普信息科技人民币,易方达标普消费品指数A,易方达沪深300医药ETF,易方达沪深300指数增强A,易方达消费精选股票,易方达消费行业股票,易方达深证100ETF,易方达瑞恒灵活配置混合,易方达稳健收益债券B,易方达纯债债券A,易方达纯债债券C,易方达蓝筹精选,易方达裕丰回报债券,易方达高等级信用债债券A,易方达高等级信用债债券C,景顺长城新兴成长混合,景顺长城绩优成长混合,汇添富中证主要消费ETF,汇添富中证新能源汽车A,汇添富全球医疗混合人民币,鹏扬利泽债券C
中欧医疗健康混合A,1.0,0.7122900363647127,0.5181658433978968,0.7302242683097405,0.1233946242440057,0.6033698472905997,0.477599782797173,0.11128106420781832,0.570965615711954,-0.0868223167445562,-0.01673357483237243,0.10332605983963565,0.6954214231728348,0.1766530696718108,0.7072782957222705,0.7438689270456935,0.12769300658191843,0.7364590467221749,0.5693465696900241,-0.03102369240551369,0.0074755450079296,0.021169850091300936,0.651331096078245,0.5358325307711975,0.74081021222347,0.3890051387234844,0.7591323176900859,0.740710508743077,0.4325836011217559,0.7392390112340734,0.508504546042471,0.344475603572537,0.518515061160146,0.10107458424509834,0.10446781577754309,0.23893530509262556,0.9236520363581509,0.6823881407419776,0.7060260713097001,0.6824884971046796,0.7109900157078651,0.7018960853901759,0.4067738133504495,-0.05768766913278384,-0.020303896099157056,0.7188240483686554,0.6740053415775279,-0.030516463101948544,-0.009503307991329212,0.79285816133838,0.8007767368103827,0.6788271332175854,0.4811901178574143,0.6358262669772092,-0.03248001353951353
兴全合润,0.7122900363647128,1.0,0.6941329293273013,0.8044836947768763,0.15980390534955122,0.8119785611508977,0.7452317411472655,0.17992281853221967,0.6691189942265153,-0.10467101687669864,0.006064781873887438,0.16166905174115262,0.7571106799061781,0.22484226003639077,0.7917474260572763,0.8667966141015119,0.22810496322299403,0.7104341473329876,0.6892499613012696,0.06840852088189395,-0.02395455498724196,0.0547344970339323,0.788462843586312,0.5831430070758216,0.8017853931539386,0.4732101395965492,0.7462535241780706,0.8598682370806682,0.5688741424428888,0.7816866641565736,0.7688125714163808,0.5375687232150872,0.6543484998534838,0.27087383702891576,0.1721161177236626,0.3067436559999499,0.7782134643005579,0.7373180215956158,0.7375012740043356,0.7678736849902217,0.8951503829986774,0.8121384047749398,0.6770643894998812,-0.045696034593485355,-0.02119781903867205,0.7673129843696548,0.833966057169263,0.0016046481904779565,0.010702658902584759,0.8204388501095204,0.7794831497774339,0.7912590142665448,0.6334207997210954,0.5498235884369829,-0.03287686104256824
华夏上证50ETF,0.5181658433978968,0.6941329293273013,1.0,0.603092226658406,0.17589580791996748,0.9408659611385709,0.6268174003608753,0.16882790771071104,0.6109652690083691,-0.1227818420902109,0.04451561673026936,0.1535963499017361,0.6713826965163097,0.250184934470248,0.8136442533933567,0.6980715238932724,0.24392570130432306,0.6157783124494003,0.6486859333299689,0.2104856881935779,-0.021786849486575863,0.09940762166648248,0.9349975342956547,0.41744288257029155,0.6852453841499762,0.4489370502227396,0.6452297649177446,0.7067432823905233,0.5274426241785771,0.5367457180830465,0.5725865826407853,0.6702363248703233,0.5623004378611954,0.3488128135298184,0.18795689024247275,0.29914993121333955,0.6095442669796047,0.861073279883498,0.6973633587225796,0.6534602784404707,0.8014428462340113,0.7656391004864788,0.7223780645010869,-0.02776418124474019,-0.009711772657627063,0.7187811150892072,0.6721399193069084,-0.0015747455708168296,-0.0077122014748462996,0.6492457919620298,0.7235321053683512,0.6677182695229781,0.48885913975367495,0.4246816575133518,-0.0433459470332481
华安创业板50ETF,0.7302242683097405,0.8044836947768763,0.603092226658406,1.0,0.14397117637833146,0.7561813808095031,0.7790946304895561,0.15198864533225032,0.6409311087588221,-0.09016328851422775,-0.027031403652637693,0.1372609951084647,0.6156704419968432,0.23576580879635697,0.6912038784649369,0.8480644169546634,0.1778064047199731,0.6941074761829457,0.5061997196289532,-0.0005880958378597938,0.04724774753306106,0.08607430307990852,0.6441117868676761,0.7407484637973022,0.6541875406779767,0.39821794837488816,0.9660074936719232,0.9344885348613076,0.45733386936322595,0.985150065547637,0.740746351268505,0.43683263776395154,0.6002502931643758,0.1833393486854293,0.14690526875968704,0.2745384610150782,0.7314933932253671,0.6713647198169183,0.6843996994254485,0.6185565517836558,0.8718335575099191,0.6995533352647293,0.5906411297934172,-0.06764102398071883,-0.0353862122559447,0.6841847031255044,0.7517594712203471,-0.016494058003313803,-0.013060654651419607,0.6899172709181143,0.749579339492179,0.6284286606098607,0.8157852142496881,0.5874983869823095,-0.02095204772349281
华安德国30(DAX)ETF,0.12339462424400571,0.15980390534955122,0.17589580791996748,0.14397117637833143,1.0,0.17666935088378818,0.14315985849979002,0.532188045228728,0.31295207773840256,-0.08548993906835069,-0.031099537753810618,0.4198279612625516,0.15012051554248626,0.20928403045286306,0.16279233618766958,0.16170833839281684,0.5733452264553339,0.10692506237773593,0.15214838700715125,-0.019965430511826116,-0.009728872293576551,-0.0213935820490592,0.18289791413381853,-0.0866401836091699,0.16634060382630575,0.36105445828321686,0.2418367237970101,0.02821436430794911,0.33774929655988384,0.1344622509091,0.17875733908694408,0.3586360540774268,0.19926770940098143,0.4140547588011368,0.4842044895969255,0.779730265076498,0.13831791058624412,0.03106416249763877,0.12618565586311362,0.1417889357346037,0.16704792248444544,0.1780355012107373,0.14466170920695937,-0.035472765354109426,-0.011422704386635922,0.21399838269833496,0.15202878694434313,-0.03061536489430699,-0.009447320749913503,0.13440189988420542,0.17146329043161726,0.15555381856177575,0.13283004598296835,0.2561883335208673,-0.022431156580190115
华泰柏瑞沪深300ETF,0.6033698472905997,0.8119785611508976,0.9408659611385708,0.7561813808095033,0.1766693508837882,1.0,0.824908676056853,0.17163214102624352,0.6571982533582064,-0.1325751240277222,0.035684285110922816,0.15758407092920054,0.7187533419503075,0.26604727577238774,0.8428590407967725,0.8594580317378733,0.24620307850437564,0.7744867505256797,0.7006864251660941,0.19180234604538524,-0.024151038486156816,0.08887979059827485,0.8958546131982217,0.5686056975991342,0.7440799809810551,0.47441558467762096,0.7493506254440976,0.8302752437985049,0.5834402832322129,0.7352703289148589,0.6406637629279371,0.6572578355547045,0.6614463255219225,0.3376463973220577,0.19315707897833118,0.3029631048074034,0.706930441394158,0.8185992744261833,0.7476684185854918,0.7104980931351083,0.9369520355282877,0.809568440940297,0.7831179817993559,-0.04011703860198616,-0.021163530668285066,0.7497967618449399,0.7861127247726779,-0.00031628621471380944,-0.0034192745153685993,0.740215724619458,0.7691363628260877,0.7378756739388536,0.6132998545497095,0.5046101330714572,-0.050622704132533676
南方中证500ETF,0.47759978279717297,0.7452317411472655,0.6268174003608753,0.7790946304895561,0.14315985849979002,0.8249086760568531,1.0000000000000002,0.13815487216768133,0.5704873546881902,-0.12570914403200564,0.017536700978975594,0.11908619178597712,0.511309212896285,0.2349877858579109,0.5868217145660913,0.8945772876864683,0.22434391593585987,0.8432788934190126,0.5324627045328687,0.1245575801914367,-0.026480607798242246,0.05745982493843095,0.5711542158726571,0.6546017954925345,0.5431970020121221,0.377352186998376,0.6150016578871889,0.7711565660370465,0.5137895699608823,0.8758032707373513,0.5044179801755231,0.4931179342816422,0.5925934810574149,0.29200321400927537,0.159311830451868,0.23041554154554433,0.5957808133892311,0.5824715768839275,0.5476964135861154,0.5005530035366188,0.8409397109803664,0.5761914796351677,0.6832311027599778,-0.03577801523580245,-0.024576937553820573,0.5486102038109621,0.713977460244185,0.008264871932860867,0.00612392485645315,0.6058251947007472,0.5579914509895294,0.5636651520360308,0.6120964091428048,0.4415508062687677,-0.04534247210403036
博时标普500ETF,0.11128106420781833,0.17992281853221967,0.16882790771071104,0.15198864533225032,0.532188045228728,0.17163214102624352,0.13815487216768133,1.0,0.24819783096670636,-0.04770064695548438,-0.003823747247121741,0.9008621396767181,0.1600332011408524,0.22986175152463725,0.16578060373325518,0.16834413072475782,0.6483003442578255,0.1158472417842697,0.14431539902314905,-0.0057314745607379486,-0.018450235326540092,-0.003950293033779465,0.1817787246836812,0.06586527307001214,0.16616711583523638,0.44722114408849384,0.032364366864593375,0.08403193296263661,0.36265529306903055,0.13393973934968006,0.18629650308903747,0.2541020317471751,0.03692092973145966,0.307381377529138,0.9233489165712899,0.7305889923016831,0.13580295956625157,0.07309054640250431,0.15629999225275606,0.14770934837270694,0.17054356601019655,0.14486820472881082,0.13152289635360656,-0.008083480701348716,-0.017852291747014103,0.18589062956950408,0.16501341631118183,-0.019243785819790398,-0.0027407634966664838,0.15271996136202437,0.17492390976685546,0.17127714925992396,0.13714336975859204,0.3242687387820403,-0.006528551188420075
嘉实港股通新经济指数A,0.5709656157119539,0.6691189942265153,0.6109652690083691,0.6409311087588221,0.31295207773840256,0.6571982533582063,0.5704873546881902,0.24819783096670633,1.0,-0.13485438817102544,-0.04820420913614674,0.23860970930132275,0.5465304995401825,0.2983499381664068,0.5999414368002349,0.6822505359321462,0.3254017862056437,0.6253472220455215,0.4717333569955131,-0.061658539873655924,-0.004287575765471042,0.05497492186257548,0.6305601472618481,0.5432450166673217,0.5877696556172712,0.7808820168530071,0.6431746316638105,0.6215854825405726,0.8052113902276532,0.6471183118539854,0.6050994696384016,0.8178736747027812,0.9531267392144867,0.36458539307882565,0.23805232672738164,0.49012549040604586,0.5835829099181249,0.7646414765092655,0.7797430824957282,0.5715549611723413,0.6788730190619195,0.6036930236717168,0.46950216258834226,-0.1252121371569883,-0.05268178089630921,0.7863210425655355,0.6209637204795276,-0.06298770112664817,-0.051441219012227805,0.5901892933252934,0.7763340236514095,0.5597930866478098,0.5389532121316456,0.5897775393773653,-0.03066616452329049
嘉实稳祥纯债债券A,-0.0868223167445562,-0.10467101687669862,-0.1227818420902109,-0.09016328851422775,-0.08548993906835069,-0.1325751240277222,-0.12570914403200564,-0.047700646955484385,-0.13485438817102544,1.0000000000000002,0.4244808852159853,-0.0332686971539128,-0.08152464865337661,-0.03399556543506038,-0.13451758910471096,-0.12127451267289377,-0.10579455083466689,-0.08971751767255139,-0.10564860164614392,0.48468561831944906,0.4929387982873274,0.26537335390939426,-0.11652502915664663,0.030505294907417987,-0.11825458525436257,-0.10471320598098872,0.05587266486122897,-0.06308408406513866,-0.09684186303735012,-0.10408226672735436,-0.07277190319516674,-0.10344462145005133,-0.042247344862313144,-0.07270966068118981,-0.048643844646995,-0.09439808589061827,-0.10578310036758772,0.09854120896643764,-0.04292547448935718,-0.11152352288273248,-0.12140954419731399,-0.15393688718955006,0.052240470848357014,0.5679112120795315,0.5327969342582777,-0.1161680077322848,0.00589079786626309,0.5345368912071546,0.45801862088674045,-0.09951034106673376,-0.10804007409352229,-0.09431567682760926,-0.09325856414570897,-0.10059704106181748,0.6714304075204014
