时间	研究生招生数(万人)	博士招生数(万人)	硕士招生数(万人)	普通本科、专科生招生数(万人)	普通本科招生数(万人)	普通专科招生数(万人)	成人本科、专科生招生数(万人)	成人本科招生数(万人)	成人专科招生数(万人)	网络本科、专科生招生数(万人)	网络本科招生数(万人)	网络专科招生数(万人)	在职人员攻读博士硕士学位招生数(万人)	自考助学班招生数(万人)	留学生招生数(万人)	研究生在校学生数(万人)	博士在校学生数(万人)	硕士在校学生数(万人)	普通本科、专科生在校学生数(万人)	普通本科在校学生数(万人)	普通专科在校学生数(万人)	成人本科、专科生在校学生数(万人)	成人本科在校学生数(万人)	成人专科在校学生数(万人)	网络本科、专科生在校学生数(万人)	网络本科在校学生数(万人)	网络专科在校学生数(万人)	在职人员攻读博士、硕士学位在校学生数(万人)	电大注册视听生在校学生数(万人)	自考助学班在校学生数(万人)	研究生课程进修班在校学生数(万人)	普通预科生在校学生数(万人)	进修及培训在校学生数(万人)	留学生在校学生数(万人)	研究生毕(结)业生数(万人)	博士毕(结)业生数(万人)	硕士毕(结)业生数(万人)	普通本科、专科生毕(结)业生数(万人)	普通本科毕(结)业生数(万人)	普通专科毕(结)业生数(万人)	成人本科、专科生毕(结)业生数(万人)	成人本科毕(结)业生数(万人)	成人专科毕(结)业生数(万人)	网络本科、专科生毕(结)业生数(万人)	网络本科毕(结)业生数(万人)	网络专科毕(结)业生数(万人)	学历文凭考试毕(结)业生数(万人)	电大注册视听生毕(结)业生数(万人)	自考助学班毕(结)业生数(万人)	研究生课程进修班毕(结)业生数(万人)	普通预科生毕(结)业生数(万人)	进修及培训毕(结)业生数(万人)	留学生毕(结)业生数(万人)	研究生授予学位数(万人)	博士授予学位数(万人)	硕士授予学位数(万人)	普通本科、专科生授予学位数(万人)	普通本科授予学位数(万人)	成人本科、专科生授予学位数(万人)	成人本科授予学位数(万人)	网络本科、专科生授予学位数(万人)	网络本科授予学位数(万人)	在职人员攻读博士硕士学位授予学位数(万人)	留学生授予学位数(万人)
2018年	85.8			791.0												273.1			2831.0																60.4			753.3																										
2017年	80.6103	8.3878		761.4893	410.7534	350.7359	217.5302	102.3981	115.1321	286.1143	99.3253	186.789				263.9561	36.1997		2753.5869	1648.632	1104.9549	544.1429	258.9809	285.162	735.9267	258.7338	477.1929								57.8045	5.8032		735.8287	384.1839	351.6448	247.037	109.1226	137.9144	177.7905	65.9559	111.8346			11.6214	0.9244		968.2937					377.1039							
2016年	66.7064	7.7252		748.6	405.4007	343.2103	211.229	96.9387	114.2903	229.6088	84.7568	144.852				198.1051	34.2027		2695.8	1612.9535	1082.8898	584.3883	268.6619	315.7264	644.9329	233.927	411.0059								56.3938	5.5011		704.2	374.368	329.812	244.465	102.1846	142.2804	187.4787	70.0906	117.3881											365.9686							
2015年	64.5055	7.4416	57.0639	737.8	389.4184	348.4311	236.7455	101.4675	135.278	203.4032	74.866	128.5372				191.1406	32.6687	158.4719	2625.3	1576.6848	1048.612	635.9352	279.3354	356.5998	628.4671	229.4807	398.9864								55.1522	5.3778	49.7744	680.9	358.594	322.2926	236.2593	96.2495	140.0098	179.9757	64.9086	115.0671			13.0855	3.126		891.3268					350.323							
2014年	62.1323	7.2634	54.8689	721.4	383.4152	337.9835	265.604	110.2409	155.3631	206.1852	78.1445	128.0407	16.2374			184.7689	31.2676	153.5013	2547.7	1541.0653	1006.6346	653.1212	279.7917	373.3295	631.4472	228.701	402.7462	59.6086							53.5863	5.3653	48.221	659.4	341.3787	317.9884	221.2329	89.905	131.3279	166.1306	58.6272	107.5034			14.9228	3.4836		901.8734					333.8323							
2013年	61.1381	7.0462	54.0919	699.8	381.4331	318.3999	256.4934	103.8158	152.6776	220.0729	80.4378	139.6351	16.7576		10.6448	179.3953	29.8283	149.567	2468.1	1494.4353	973.6373	626.4145	265.4596	360.9549	614.6406	217.51	397.1306	55.873		40.5329	6.9321	4.2514	626.8398	17.4806	51.3626	5.3139	46.0487	638.7	319.9716	318.7494	199.7729	81.1159	118.657	156.0762	53.6702	102.406			19.4882	4.8329		909.4537	9.1251	50.952	5.1714	45.7806	313.0415	313.0415	12.6057	12.6057	4.0267	4.0267	10.3468	1.9025
2012年	58.9673	6.837	52.1303	688.8	374.0574	314.78	243.9551	98.4817	145.4734	196.4468	69.6698	126.777	14.0629		10.2991	171.9818	28.381	143.6008	2391.3	1427.0888	964.23	583.1123	247.5495	335.5628	570.4112	200.2698	370.1414	48.9857		39.7381	7.3796	3.7668	343.9532	15.7845	48.6455	5.1713	43.4742	624.7	303.8473	320.89	195.4357	80.1015	115.3342	136.087	47.7949	88.2921			18.4933	5.0284	0.0	755.0132	8.3613	48.183	5.0399	43.1431	296.6148	296.6148	12.657	12.657	3.4658	3.4658	10.4781	1.8259
2011年	56.0168	6.5559	49.4609	681.5	356.6411	324.86	218.5141	89.7241	128.79	187.1519	64.3993	122.7526	13.4061		9.4692	164.5845	27.1261	137.4584	2308.5	1349.6577	958.85	547.4962	233.6132	313.883	492.4833	175.476	317.0073	46.1693		24.4868	6.7112	3.2274	282.5772	14.7549	42.9994	5.0289	37.9705	608.2	279.6229	328.53	190.664	75.5402	115.1238	129.9253	46.0149	83.9104			24.2067	4.8873		648.0856	7.3693	42.6778	4.8551	37.8227	270.7934	270.7934	9.9984	9.9984	3.0979	3.0979	10.7304	1.5197
2010年	53.8177	6.3762	47.4415	661.8	351.2563	310.5	208.4259	85.3319	123.094	166.3655	55.5789	110.7866	12.4871	18.8322	8.0846	153.8416	25.895	127.9466	2231.8	1265.6132	966.18	536.0388	225.0457	310.9931	453.1443	164.0403	289.104	42.0294		59.5048	6.4978	3.197	263.6948	13.0637	38.36	4.8987	33.4613	575.4	259.0535	316.37	197.2873	80.3915	116.8958	110.5529	42.2543	68.2986			19.4889	4.829		688.2371	6.2071	37.9992	4.7407	33.2585	243.5867	243.5867	10.1028	10.1028	2.5956	2.5956	10.2658	1.1912
2009年	51.0953	6.1911	44.9042	639.5	326.1081	313.39	201.4776	81.5795	119.8981	162.5687	55.1287	107.44	11.5985	22.1279	7.3266	140.4942	24.6319	115.8623	2144.7	1179.8511	964.81	541.3513	225.6662	315.6851	417.2721	157.2642	260.0079	39.4331		69.6503	6.8646	3.0649	209.878	11.7548	37.1273	4.8658	32.2615	531.1	245.5359	285.56	194.3893	86.5421	107.8472	98.3521	40.5549	57.7972		0.1113	19.6768	4.6803		507.3449	5.5251	36.7871	4.6616	32.1255	229.82	229.82	10.875	10.875	2.4404	2.4404	10.1956	0.9013
