时间	高等教育招生数(万人)	研究生招生数(万人)	博士招生数(万人)	硕士招生数(万人)	普通本专科招生数(万人)	普通本科招生数(万人)	普通专科招生数(万人)	成人本专科招生数(万人)	成人本科招生数(万人)	成人专科招生数(万人)	在职人员攻读博士、硕士学位招生数(万人)	网络本专科生招生数(万人)	网络本科招生数(万人)	网络专科招生数(万人)	中等教育招生数(万人)	高中阶段教育招生数(万人)	高中招生数(万人)	普通高中招生数(万人)	普通高中完全中学招生数(万人)	高级中学招生数(万人)	十二年一贯制普通高中招生数(万人)	成人高中招生数(万人)	中等职业教育招生数(万人)	普通中专招生数(万人)	成人中专招生数(万人)	职业高中招生数(万人)	技工学校招生数(万人)	初中阶段教育招生数(万人)	普通初中招生数(万人)	初级中学招生数(万人)	九年一贯制普通初中招生数(万人)	十二年一贯制普通初中招生数(万人)	普通初中完全中学招生数(万人)	职业初中招生数(万人)	成人初中招生数(万人)	初等教育招生数(万人)	普通小学招生数(万人)	小学招生数(万人)	九年一贯制普通小学招生数(万人)	十二年一贯制普通小学招生数(万人)	成人小学招生数(万人)	扫盲班招生数(万人)	工读学校招生数(万人)	特殊教育招生数(万人)	学前教育招生数(万人)
2018年		85.8			791.0													792.7					557.0														1867.3							12.4	
2017年		80.6103	8.3878	72.2225	761.4893	410.7534	350.7359	217.5302	102.3981	115.1321		286.1143	99.3253	186.789	2929.706	1382.4851	800.0548	800.0548	247.72	516.92	35.42		582.4303	246.2485	56.8771	148.3979	130.9068	1547.2209		1076.09	237.8247	39.81	193.41	0.0956		1766.5544	1766.5544	1568.84	178.79	18.92			0.3187	11.0843	1937.953
2016年		66.7064	7.7252	58.9812	748.6	405.4007	343.2103	211.229	96.9387	114.2903		229.6088	84.7568	144.852	2883.428	1396.2617	802.9206	802.9	251.08	519.88	31.96		593.3	255.184	59.5252	151.4336	127.2	1487.1663		1054.33	212.833	33.58	186.28	0.1		1752.4659	1752.5	1568.71	167.7	16.05			0.3295	9.2	1922.1
2015年		64.5055	7.4416	57.0639	737.8	389.4184	348.4311	236.7455	101.4675	135.278		203.4032	74.866	128.5372	2808.8798	1397.8556	796.6066	796.6	251.43	516.92	28.26		601.2	259.9455	64.6759	155.196	121.4	1411.0242		1011.91	191.7472	27.66	179.53	0.2		1729.0429	1729.0	1554.92	159.16	14.95			0.3811	8.3	2008.8
2014年		62.1323	7.2634	54.8689	721.4	383.4152	337.9835	265.604	110.2409	155.3631	16.2374	206.1852	78.1445	128.0407	2864.1793	1416.3578	796.596	796.6	253.0	518.64	24.96		619.8	259.6594	74.1601	161.5358	124.4	1447.8215		1045.25	187.7028	25.94	188.69	0.2		1658.4245	1658.4	1499.32	145.45	13.66			0.3528	7.1	1987.8
2013年		61.1381	7.0462	54.0919	699.8	381.4331	318.3999	256.4934	103.8158	152.6776	16.7576	220.0729	80.4378	139.6351	2993.5409	1497.4542	822.6961	822.7	268.99	530.83	22.87		674.8	271.4716	86.2591	183.5317	133.5	1496.0867		1086.39	180.4465	23.18	205.72	0.4		1695.3556	1695.4	1545.14	138.2	12.02			0.3891	6.6	1970.0
2012年		58.9673	6.837	52.1303	688.8	374.0574	314.78	243.9551	98.4817	145.4734	14.0629	196.4468	69.6698	126.777	3169.512	1598.742	844.6071	844.6	287.82	534.85	21.93	21.9291	754.1	277.3643	105.811	213.9032	156.8	1570.77	1570.77	1148.49	182.2554	21.89	217.6	0.5		1714.664	1714.7	1569.74	134.26	10.66			0.4547	6.6	1911.9
2011年		56.0168	6.5559	49.4609	681.5	356.6411	324.86	218.5141	89.7241	128.79	13.4061	187.1519	64.3993	122.7526	3299.3759	1664.6463	850.7799	850.8	295.06	535.41	20.31		813.9	299.5725	103.9639	246.4262	163.5	1634.7296	1634.0088	1207.97	182.4936	19.62	223.93	0.7		1736.798	1736.8	1598.93	128.22	9.65			0.5664	6.4	1827.3
2010年		53.8177	6.3762	47.4415	661.8	351.2563	310.5	208.4259	85.3319	123.094	12.4871	166.3655	55.5789	110.7866	3423.2365	1706.655	836.2359	836.2					870.4	316.6119	116.1091	278.6747	158.6	1716.5815	1715.493					1.1		1691.7007	1691.7						0.4047	6.5	1700.4
2009年		51.0953	6.1911	44.9042	639.5	326.1081	313.39	201.4776	81.5795	119.8981	11.5985	162.5687	55.1287	107.44	3487.3148	1698.8625	830.3384	830.3					868.2	311.7118	86.8917	313.1735	156.4	1788.4523	1786.3912					2.1		1637.7978	1637.8						0.3919	6.4	1546.9
2008年		44.6422	5.9764	38.6658	607.7	297.0601	310.6	202.5552	83.1362	119.419	13.337	147.2194	53.5914	93.628	3508.712	1649.1166	837.0063	837.0					812.1	303.7844	55.8314	290.6581	161.4	1859.5954	1856.1663					3.4		1695.715	1695.7						0.4759	6.2	1482.7
2007年		41.8612	5.8022	36.059	565.9	282.0971	283.82	191.1132	82.0858	109.0274	12.6884	123.4385	49.7993	73.6392	3518.6853	1650.1885	840.1644	840.2					810.0	297.2924	52.0001	302.1829	158.5487	1868.4968	1863.7499					4.8		1736.0672	1736.1						0.4382	6.3	1433.6
2006年		39.7925	5.5955	34.197	546.1	253.0854	292.97	184.4431	77.7677	106.6754	10.9245	113.2516	50.953	62.2986	3548.5878	1619.0298	871.208	871.2					747.8	278.887	46.155	288.0187	134.8	1929.558	1923.6					5.9		1729.3572	1729.4						0.395	5.0	1391.2
2005年		36.4831	5.4794	31.0037	504.5	236.3647	268.09	193.025	74.7196	118.3054	10.1653	89.1046	40.8606	48.244	3520.9758	1533.3932	877.7317	877.7					655.7	241.134	47.9465	248.2117	118.3693	1987.5826	1976.5246					11.1		1671.744	1671.7						0.3543	4.9	1356.2
2004年		32.6286	5.3284	27.3002	447.3	209.9151	237.4	221.158	75.9434	145.2146	7.8171	83.9325	42.7811	41.1514	3482.3585	1387.7141	821.5096	821.5					566.2	203.8445	40.0017	212.6583	109.7	2094.6444	2078.2					16.4		1747.0128	1747.0						0.3121	5.1	1350.3
2003年		26.8925			382.2	182.5262	199.6											752.1					515.8	183.9			91.6		2195.3					24.8			1829.4							4.9	1316.8
2002年		20.2611			320.5	158.7939	89.05											676.7					473.6	155.31			73.3		2252.3					29.5			1952.8							5.3	1373.6
2001年		16.5197			268.3	138.1835	66.56											558.0					399.9	127.68			55.1		2257.88					30.0			1944.2							5.6	1398.2
2000年		12.8484			220.6	116.0191	48.69											472.7					408.3	132.587			50.4		2263.3					32.3			1946.5							5.3	1531.1
1999年		9.2225			159.68	93.669	61.1864											396.3239					473.27	163.4			51.5		2149.7					33.7591			2029.5337							5.01	1617.54
1998年		7.2508			108.3627	65.3135	43.0492											359.552					539.52	166.8			59.4		1961.4					34.8927			2201.3814							4.91	1719.96
1997年		6.3749			100.0393		42.0714											322.6143					520.77	162.111			73.4		1805.6					30.8777			2462.0442							4.61	1824.37
1996年		5.9398			96.5812		46.0489											282.2297					510.43	152.3393			72.7		1760.7					30.6776			2524.6553							4.82	1951.65
1995年		5.1053			92.6		47.8131											273.6					498.6	138.0928			74.6		1752.3					28.8			2531.8							5.6	1972.4
1994年		5.0864			89.9846		49.0247											243.3887					337.7	122.5412			71.4		1616.4					28.5107			2537.0329							3.98	
1993年		4.2145			92.3952		53.7494											228.3351					401.79	114.9			66.4		1479.0					26.6453			2353.4825							3.35	
1992年		3.3439			75.4192		40.4345											234.7321					344.87	87.9242			60.2		1465.0					26.6788			2183.2							2.95	
1991年		2.9679			61.9874		29.0372											243.8157					311.65	77.9955			54.4		1411.3					23.8207			2072.74							1.98	
1990年		2.9649			60.9		29.1668											249.8					286.1	73.0097			50.6		1369.9					19.4			2064.0							1.6	
1989年		2.8569			59.7113		29.6617											242.1434					275.84	73.4861			47.0		1309.4					19.1769			2151.54							1.36	
1988年		3.5645			66.97		32.8709											251.56					283.0	77.6382			46.1		1340.5					18.57			2123.28							1.2	
1987年		3.9017			61.68		28.4457											255.16					223.26	71.5227			42.3		1394.3					16.63			2094.57							1.18	
1986年		4.131			57.2		25.9931											257.32					218.37	67.7			39.4		1386.6					15.45			2258.23							1.14	
1985年		4.6871			61.9		30.1598											257.5					234.2	66.8			35.5		1349.4					17.6			2298.2							0.9	
1984年		2.3181			47.5171		19.069											262.33					144.46	54.6			31.1		1302.5					18.545			2472.93							0.75	
1983年		1.5642			39.1		13.4581											259.8					78.4186	47.8			27.4		1317.1					1.4089			2544.0							0.64	
1982年		1.108			31.5		8.4405											279.3					62.1801	41.9			20.3		1363.1					0.7898			2671.7							0.61	
1981年		0.9363			27.9		7.63											327.8					54.7806	43.3					1412.7					0.2194			2749.2							0.6	
1980年		0.3616			28.1		7.7088											383.4					58.3	46.8					1550.9					6.7			2942.3							0.6	
1979年		0.811			27.5		7.0889											614.1					49.1	49.1					1727.8								3101.7							0.6	
1978年		1.0708			40.2		12.3712											692.9					44.7	44.7					2006.0								3315.4							0.6	
1977年					27.3													993.1						36.6					2367.7								3111.5							0.56	
1976年					21.7													861.1						34.8					2344.3								3161.1							0.54	
1975年					19.1													633.1						34.4					1810.5								3352.1							0.51	
1974年					16.5													541.1						32.7					1345.1								3249.5							0.52	
1973年					15.0													452.0						29.4					1139.0								3369.3							0.55	
1972年					13.4													479.0						26.8					1247.1								3603.6								
1971年					4.2													321.3						21.3					1234.9								3387.5								
1970年					4.2													239.0						5.4					1176.3								2831.8								
1969年																		103.6						1.3					1023.4								2205.7								
1968年																		63.0						1.8					648.5								1753.2								
1967年																		13.6						0.8					198.3								1402.5								
1966年																		20.7						4.6					272.7								1879.2								
1965年		0.1456			16.4													45.9						20.8					299.8								3296.0								
1964年		0.124			14.7													43.8						24.9					286.6								2968.9								
1963年		0.0781			13.3													43.4						15.5					263.5								1698.2								
1962年		0.1287			10.7													41.7						3.9					238.3								1586.3								
1961年		0.2198			16.9													44.7						16.7					221.8								1647.1								
1960年		0.2275			32.3													67.8						106.6					364.8								2494.3								
1959年		0.1345			27.4													65.6						70.0					318.3								2049.1								
1958年		0.0275			26.5													56.2						89.5					378.3								3000.5								
1957年		0.0334			10.6													32.3						12.3					217.0								1249.2								
1956年		0.2235			18.5													37.4						46.2					196.9								1592.3								
1955年		0.1751			9.8													22.1						19.0					128.2								1182.0								
1954年		0.1155			9.2													19.5						15.0					123.6								1054.5								
1953年		0.2887			8.1													16.1						19.4					81.8								819.5								
1952年		0.1785			7.9													14.1						35.1					124.2								1149.3								
1951年		0.1273			5.2													9.1						23.0					80.6								1086.2								
1950年		0.0874			5.8													10.8						12.8					50.1								696.6								
1949年		0.0242			3.1													7.1						9.7					34.1								680.0								
