日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2019-01-02     2.0292      2.2197      2.3553      2.7250      2.6952      2.6660      3.2248      3.0757      2.8643      3.4062      3.2878      3.0880      3.3272      3.2728      3.2104      3.2946      3.2892      3.2823      3.4778      3.4792      3.4787      3.5180      3.5190      3.5209      
2019-01-03     2.0170      2.1511      2.3404      2.7000      2.6809      2.6643      3.1128      3.0642      2.8673      3.3436      3.2915      3.1031      3.3146      3.2793      3.2160      3.2936      3.2900      3.2828      3.4750      3.4776      3.4781      3.5154      3.5173      3.5199      
2019-01-04     1.9882      2.0593      2.3019      2.6736      2.6696      2.6624      2.9714      3.0438      2.8675      3.2516      3.2813      3.1131      3.2898      3.2809      3.2201      3.2888      3.2888      3.2825      3.4696      3.4748      3.4769      3.5108      3.5146      3.5185      
2019-01-07     1.9836      1.9554      2.2535      2.6244      2.6522      2.6556      2.8060      3.0113      2.8636      3.1350      3.2568      3.1172      3.2466      3.2741      3.2204      3.2760      3.2837      3.2803      3.4566      3.4683      3.4737      3.4998      3.5095      3.5156      
2019-01-08     1.7556      1.8652      2.2015      2.5182      2.6235      2.6435      2.6236      2.9570      2.8569      3.0056      3.2161      3.1165      3.1960      3.2604      3.2179      3.2574      3.2757      3.2768      3.4380      3.4587      3.4690      3.4824      3.5009      3.5108      
2019-01-09     1.6090      1.8191      2.1567      2.4864      2.6057      2.6360      2.5586      2.8917      2.8495      2.9236      3.1649      3.1136      3.1520      3.2396      3.2139      3.2358      3.2652      3.2723      3.4144      3.4461      3.4630      3.4604      3.4892      3.5048      
2019-01-10     1.5640      1.7905      2.1227      2.4944      2.5972      2.6341      2.5244      2.8186      2.8430      2.8630      3.1033      3.1090      3.1090      3.2118      3.2081      3.2084      3.2510      3.2660      3.3854      3.4302      3.4552      3.4344      3.4749      3.4976      
2019-01-11     1.5758      1.7820      2.0821      2.4928      2.5832      2.6300      2.5044      2.7379      2.8369      2.8154      3.0335      3.1026      3.0674      3.1786      3.2010      3.1784      3.2336      3.2584      3.3540      3.4118      3.4461      3.4050      3.4579      3.4891      
2019-01-14     1.6620      1.8228      2.0433      2.5236      2.5740      2.6273      2.5044      2.6552      2.8301      2.7886      2.9618      3.0930      3.0360      3.1413      3.1924      3.1530      3.2145      3.2500      3.3278      3.3922      3.4364      3.3792      3.4395      3.4799      
2019-01-15     1.8282      1.7919      2.0243      2.5796      2.5489      2.6251      2.5210      2.5723      2.8223      2.7790      2.8923      3.0818      3.0098      3.1029      3.1823      3.1306      3.1940      3.2409      3.3052      3.3716      3.4259      3.3578      3.4201      3.4701      
2019-01-16     1.9760      1.7925      2.0061      2.6126      2.5495      2.6224      2.5408      2.5497      2.8127      2.7764      2.8500      3.0689      2.9852      3.0686      3.1707      3.1096      3.1727      3.2310      3.2868      3.3506      3.4149      3.3404      3.4004      3.4597      
2019-01-17     2.0792      1.8216      1.9864      2.6174      2.5559      2.6184      2.5542      2.5393      2.8018      2.7756      2.8193      3.0554      2.9650      3.0370      3.1582      3.0930      3.1507      3.2204      3.2740      3.3297      3.4037      3.3258      3.3801      3.4487      
2019-01-18     2.1733      1.8746      1.9669      2.6300      2.5614      2.6155      2.5628      2.5336      2.7887      2.7766      2.7960      3.0387      2.9472      3.0073      3.1441      3.0812      3.1298      3.2093      3.2644      3.3092      3.3920      3.3162      3.3606      3.4376      
2019-01-21     2.2457      1.9539      1.9546      2.6230      2.5733      2.6128      2.5820      2.5432      2.7773      2.7788      2.7837      3.0203      2.9334      2.9847      3.1294      3.0710      3.1120      3.1979      3.2558      3.2918      3.3801      3.3088      3.3440      3.4268      
2019-01-22     2.2453      2.0368      1.9510      2.6082      2.5939      2.6087      2.6070      2.5640      2.7605      2.7828      2.7809      2.9985      2.9238      2.9668      3.1136      3.0630      3.0968      3.1863      3.2506      3.2779      3.3683      3.3040      3.3309      3.4159      
2019-01-23     2.2329      2.1045      1.9618      2.5970      2.6048      2.6053      2.6336      2.5872      2.7395      2.7886      2.7825      2.9737      2.9172      2.9512      3.0954      3.0576      3.0836      3.1744      3.2474      3.2671      3.3566      3.3012      3.3208      3.4050      
2019-01-24     2.2337      2.1565      1.9735      2.5980      2.6077      2.6025      2.6630      2.6086      2.7136      2.7954      2.7855      2.9444      2.9120      2.9385      3.0752      3.0532      3.0731      3.1621      3.2450      3.2595      3.3449      3.3004      3.3131      3.3940      
2019-01-25     2.2704      2.2219      2.0019      2.5996      2.6148      2.5990      2.7010      2.6319      2.6849      2.8038      2.7902      2.9119      2.9088      2.9280      3.0533      3.0484      3.0648      3.1492      3.2432      3.2538      3.3328      3.2988      3.3075      3.3827      
2019-01-28     2.2612      2.2535      2.0381      2.6128      2.6179      2.5960      2.7500      2.6660      2.6606      2.8122      2.7955      2.8787      2.9060      2.9197      3.0305      3.0436      3.0573      3.1359      3.2406      3.2482      3.3202      3.2970      3.3029      3.3712      
2019-01-29     2.2282      2.2368      2.0143      2.6504      2.6293      2.5891      2.8074      2.7072      2.6398      2.8198      2.8013      2.8468      2.9032      2.9135      3.0082      3.0382      3.0506      3.1223      3.2338      3.2422      3.3069      3.2934      3.2987      3.3594      
2019-01-30     2.1798      2.2064      1.9994      2.6866      2.6418      2.5957      2.8650      2.7493      2.6495      2.8266      2.8076      2.8288      2.9016      2.9094      2.9890      3.0330      3.0453      3.1090      3.2244      3.2359      3.2933      3.2876      3.2944      3.3474      
2019-01-31     2.1748      2.2043      2.0129      2.7146      2.6563      2.6061      2.9176      2.7903      2.6648      2.8322      2.8138      2.8166      2.9008      2.9064      2.9717      3.0284      3.0408      3.0958      3.2118      3.2284      3.2791      3.2780      3.2892      3.3347      
2019-02-01     2.1224      2.1964      2.0355      2.7338      2.6667      2.6141      2.9366      2.8188      2.6762      2.8354      2.8196      2.8078      2.9004      2.9046      2.9560      3.0244      3.0364      3.0831      3.1976      3.2204      3.2648      3.2674      3.2831      3.3219      
2019-02-02     2.1364      2.1988      2.0763      2.6762      2.6445      2.6089      2.8744      2.8122      2.6777      2.8336      2.8229      2.8033      2.9002      2.9031      2.9439      3.0204      3.0320      3.0720      3.1806      3.2106      3.2512      3.2528      3.2749      3.3095      
2019-02-03     2.1380      2.1831      2.1099      2.5898      2.6201      2.6070      2.7720      2.7897      2.6769      2.8282      2.8240      2.8025      2.9002      2.9017      2.9343      3.0162      3.0272      3.0620      3.1650      3.1994      3.2387      3.2368      3.2651      3.2980      
2019-02-11     2.1906      2.1852      2.1448      2.5560      2.6213      2.6131      2.6770      2.7710      2.6791      2.8172      2.8219      2.8022      2.8996      2.9006      2.9259      3.0100      3.0215      3.0526      3.1488      3.1866      3.2269      3.2222      3.2549      3.2879      
2019-02-12     2.1464      2.1606      2.1585      2.5074      2.6110      2.6094      2.5806      2.7491      2.6789      2.8014      2.8168      2.8012      2.8940      2.8974      2.9180      2.9980      3.0132      3.0432      3.1282      3.1700      3.2148      3.2062      3.2421      3.2776      
2019-02-13     2.0708      2.0966      2.1592      2.4354      2.5846      2.5997      2.5004      2.7185      2.6752      2.7808      2.8081      2.7992      2.8844      2.8924      2.9102      2.9822      3.0033      3.0341      3.1034      3.1505      3.2022      3.1872      3.2273      3.2674      
