date,sharesNewAccount,close
2019-02-22,316100,2804.23
2019-02-15,206600,2682.39
2019-02-01,189100,2618.23
2019-01-25,249700,2601.72
2019-01-18,252600,2596.01
2019-01-11,236300,2553.83
2019-01-04,120000,2514.87
2018-12-28,208100,2493.9
2018-12-21,210400,2516.25
2018-12-14,212100,2593.74
2018-12-07,222800,2605.89
2018-11-30,235600,2588.19
2018-11-23,241600,2579.48
2018-11-16,245700,2679.11
2018-11-09,241100,2598.87
2018-11-02,239700,2676.48
2018-10-26,260000,2598.85
2018-10-19,241300,2550.47
2018-10-12,253000,2606.91
2018-09-28,200900,2821.35
2018-09-21,232399,2797.48
2018-09-14,240799,2681.64
2018-09-07,235799,2702.3
2018-08-31,240600,2725.25
2018-08-24,231200,2729.43
2018-08-17,230400,2668.97
2018-08-10,239600,2795.31
2018-08-03,242200,2740.44
2018-07-27,247100,2873.59
2018-07-20,249100,2829.27
2018-07-13,254500,2831.18
2018-07-06,234000,2747.23
2018-06-29,263000,2847.42
2018-06-22,213200,2889.76
2018-06-15,266500,3021.9
2018-06-08,246900,3067.15
2018-06-01,247100,3075.14
2018-05-25,251600,3141.3
2018-05-18,246100,3193.3
2018-05-11,241800,3163.26
2018-05-04,157600,3091.03
2018-04-27,258200,3082.23
2018-04-20,263700,3071.54
2018-04-13,289200,3159.05
2018-04-04,157800,3131.11
2018-03-30,354500,3168.9
2018-03-23,378200,3152.76
2018-03-16,383000,3269.88
2018-03-09,333100,3307.17
2018-03-02,307700,3254.53
2018-02-14,114100,3199.16
2018-02-09,250200,3129.85
2018-02-02,274700,3462.08
2018-01-26,300700,3558.13
2018-01-19,304100,3487.86
2018-01-12,266400,3428.94
2018-01-05,178400,3391.75
2017-12-29,224200,3307.17
2017-12-22,228700,3297.06
2017-12-15,238000,3266.14
2017-12-08,240900,3289.99
2017-12-01,249700,3317.62
2017-11-24,267900,3353.82
2017-11-17,297600,3382.91
2017-11-10,290800,3432.67
2017-11-03,285600,3371.74
2017-10-27,280600,3416.81
2017-10-20,272500,3378.65
2017-10-13,280800,3390.52
2017-09-29,293700,3348.94
2017-09-22,318500,3352.53
2017-09-15,337400,3353.62
2017-09-08,328900,3365.24
2017-09-01,339500,3367.12
2017-08-25,327200,3331.52
2017-08-18,333400,3268.72
2017-08-11,327100,3208.54
2017-08-04,320600,3262.08
2017-07-31,306500,3273.03
2017-07-28,306500,3253.24
2017-07-21,298300,3237.98
2017-07-14,292700,3222.42
2017-07-07,228700,3217.96
2017-06-30,301200,3192.43
2017-06-23,313100,3157.87
2017-06-16,327200,3123.17
2017-06-09,295000,3158.4
2017-06-02,180000,3105.54
2017-05-26,298800,3110.06
2017-05-19,308300,3090.63
2017-05-12,314600,3083.51
2017-05-05,236200,3103.04
2017-04-28,354600,3154.66
2017-04-21,347500,3173.15
2017-04-14,352600,3246.07
2017-04-07,228500,3286.62
2017-03-31,470900,3222.51
2017-03-24,519900,3269.45
2017-03-17,558200,3237.45
2017-03-10,513800,3212.76
2017-03-03,506200,3218.31
2017-02-24,480700,3253.43
2017-02-03,219200,3140.17
2017-01-20,292500,3123.14
2017-01-13,283700,3112.76
2017-01-06,204500,3154.32
2016-12-30,267700,3103.64
2016-12-23,312600,3110.15
2016-12-16,343400,3122.98
2016-12-09,348700,3232.88
2016-12-02,401800,3243.84
2016-11-25,394799,3261.94
2016-11-18,426400,3192.86
2016-11-11,386700,3196.04
2016-11-04,370800,3125.32
2016-10-28,403600,3104.27
2016-10-21,403600,3090.94
2016-10-14,392200,3063.81
2016-09-30,422200,3004.7
2016-09-23,510400,3033.9
2016-09-14,316600,3002.85
2016-09-09,453300,3078.85
2016-09-02,634100,3067.35
2016-08-26,634100,3070.31
2016-08-19,405000,3108.1
2016-08-12,304500,3050.67
2016-08-05,304500,2976.7
2016-07-29,323800,2979.34
2016-07-22,320600,3012.82
2016-07-15,316300,3054.3
2016-07-08,295200,2988.09
2016-07-01,353900,2932.48
2016-06-24,357200,2854.29
2016-06-17,379900,2885.11
2016-06-08,205799,2927.16
2016-06-03,326599,2938.68
2016-05-27,337100,2821.05
2016-05-20,340100,2825.48
2016-05-13,329900,2827.11
2016-05-06,262100,2913.25
2016-04-29,406900,2938.32
2016-04-22,397700,2959.24
2016-04-15,393500,3078.12
2016-04-08,292600,2984.96
2016-04-01,466800,3009.53
2016-03-25,535000,2979.43
2016-03-18,527000,2955.15
2016-03-11,474900,2810.31
2016-03-04,461400,2874.15
2016-02-26,423600,2767.21
2016-02-19,356200,2860.02
2016-02-05,262300,2763.49
2016-01-29,354900,2737.6
2016-01-22,363300,2916.56
2016-01-15,332100,2900.97
2016-01-09,300400,3186.41
2015-12-31,193700,3539.18
2015-12-25,305900,3627.91
2015-12-18,325400,3578.96
2015-12-11,349800,3434.58
2015-12-09,339800,3524.99
2015-11-27,361500,3436.3
2015-11-20,359400,3630.5
2015-11-13,353600,3580.84
2015-11-09,300200,3590.03
2015-10-30,337400,3382.56
2015-10-23,330300,3412.43
2015-10-16,295500,3391.35
2015-10-09,103600,3183.15
2015-09-30,138800,3052.78
2015-09-25,268400,3092.35
2015-09-18,281000,3097.92
2015-09-11,296300,3200.23
2015-09-09,199300,3160.17
2015-08-28,351200,3232.35
2015-08-21,329700,3507.74
2015-08-14,321600,3965.33
2015-08-09,265400,3744.2
2015-07-31,340500,3663.73
2015-07-24,391500,4070.91
2015-07-17,529300,3957.35
2015-07-10,513000,3877.8
2015-07-09,512900,3686.92
2015-06-26,499200,4192.87
