2019年4月7日	5,714.37	5,871.56	5,938.68	5,673.87	-	-2.68%
2019年3月31日	5,871.56	5,591.67	5,894.99	5,591.67	857.87K	5.84%
2019年3月24日	5,547.66	5,521.25	5,629.23	5,333.78	827.15K	-1.32%
2019年3月17日	5,622.14	5,387.38	5,634.66	5,333.26	905.30K	4.91%
2019年3月10日	5,359.01	5,279.75	5,591.69	5,236.75	1.02M	2.16%
2019年3月3日	5,245.70	5,112.95	5,512.64	5,108.28	1.26M	3.52%
2019年2月24日	5,067.23	4,840.54	5,149.62	4,835.48	1.02M	6.07%
2019年2月17日	4,777.30	4,527.97	4,777.30	4,527.97	680.33K	6.10%
2019年2月10日	4,502.73	4,306.20	4,555.23	4,306.20	462.13K	4.85%
2019年1月27日	4,294.27	4,341.49	4,370.90	4,151.41	341.16K	-0.56%
2019年1月20日	4,318.44	4,354.70	4,395.06	4,291.96	343.05K	-0.68%
2019年1月13日	4,347.81	4,317.52	4,364.10	4,271.64	366.89K	0.76%
2019年1月6日	4,314.88	4,235.03	4,354.20	4,223.46	373.13K	2.47%
2018年12月30日	4,210.88	4,176.11	4,210.88	4,071.69	176.43K	1.03%
2018年12月23日	4,168.04	4,227.35	4,276.97	4,132.76	251.44K	-1.49%
2018年12月16日	4,231.14	4,322.59	4,341.20	4,204.49	243.14K	-2.44%
2018年12月9日	4,337.10	4,381.38	4,471.26	4,331.38	281.87K	-1.67%
2018年12月2日	4,410.96	4,483.66	4,538.42	4,397.42	364.63K	0.78%
2018年11月25日	4,376.65	4,371.42	4,473.31	4,291.81	344.40K	0.04%
2018年11月18日	4,374.76	4,660.48	4,677.97	4,365.35	471.65K	-6.10%
2018年11月11日	4,659.10	4,360.63	4,691.56	4,354.47	537.28K	6.65%
2018年11月4日	4,368.61	4,427.63	4,479.69	4,348.81	375.24K	-1.56%
2018年10月28日	4,437.95	4,220.64	4,437.98	4,096.14	387.93K	4.82%
2018年10月21日	4,233.96	4,165.76	4,375.60	4,103.56	368.12K	2.57%
2018年10月14日	4,127.99	4,283.36	4,317.71	3,948.56	322.24K	-3.51%
2018年10月7日	4,278.04	4,722.42	4,737.29	4,136.63	337.14K	-10.89%
2018年9月23日	4,800.73	4,774.79	4,841.70	4,746.18	236.08K	-0.09%
2018年9月16日	4,805.22	4,649.95	4,813.29	4,584.43	293.12K	2.89%
2018年9月9日	4,670.08	4,792.60	4,794.01	4,655.21	255.98K	-2.54%
2018年9月2日	4,791.78	4,808.38	4,905.02	4,754.81	271.80K	-0.48%
2018年8月26日	4,814.82	4,859.12	4,983.94	4,805.21	267.45K	-0.77%
2018年8月19日	4,852.29	4,794.24	4,901.12	4,736.56	236.45K	1.03%
2018年8月12日	4,803.03	4,981.34	5,064.02	4,793.77	259.55K	-4.52%
2018年8月5日	5,030.51	4,919.50	5,037.49	4,797.45	291.13K	2.04%
2018年7月29日	4,929.75	5,244.77	5,255.19	4,887.50	295.83K	-6.09%
2018年7月22日	5,249.29	5,146.62	5,332.62	5,132.38	368.37K	1.43%
2018年7月15日	5,175.25	5,201.53	5,220.18	5,072.16	263.52K	-0.56%
2018年7月8日	5,204.19	5,007.21	5,207.36	4,973.99	288.52K	4.15%
2018年7月1日	4,996.63	5,216.85	5,238.64	4,897.26	284.80K	-4.24%
2018年6月24日	5,217.76	5,196.65	5,218.91	5,044.24	253.79K	1.12%
2018年6月17日	5,160.12	5,396.68	5,409.41	5,017.51	258.24K	-5.90%
2018年6月10日	5,483.94	5,657.65	5,693.61	5,448.07	239.86K	-3.27%
2018年6月3日	5,669.30	5,692.97	5,798.33	5,630.66	242.65K	-0.28%
2018年5月27日	5,685.12	5,910.48	5,938.07	5,654.84	292.36K	-3.93%
2018年5月20日	5,917.80	6,034.43	6,092.91	5,909.04	312.34K	-1.29%
2018年5月13日	5,995.15	5,982.47	6,045.03	5,932.13	283.72K	0.06%
2018年5月6日	5,991.34	5,921.31	6,052.71	5,918.38	302.51K	1.39%
2018年4月29日	5,909.29	5,861.84	5,939.95	5,779.73	186.22K	0.82%
2018年4月22日	5,860.98	5,885.61	5,968.88	5,761.97	31.09B	-0.34%
2018年4月15日	5,880.84	6,018.17	6,053.99	5,826.65	36.75B	-2.43%
2018年4月8日	6,027.19	5,994.35	6,110.18	5,954.54	31.52B	0.16%
2018年4月1日	6,017.69	6,127.23	6,169.30	6,008.51	224.44K	-1.59%
