	"时间（月)",	"市盈率 (PE Ratio)"
	"2019/3",	"21.5"
	"2019/2",	"21.35"
	"2019/1",	"20.75"
	"2018/12",	"19.22"
	"2018/11",	"22.52"
	"2018/10",	"22.13"
	"2018/9",	"25.24"
	"2018/8",	"25.14"
	"2018/7",	"24.4"
	"2018/6",	"24.8"
	"2018/5",	"23.97"
	"2018/4",	"26.5"
	"2018/3",	"25.6"
	"2018/2",	"24.62"
	"2018/1",	"25.39"
	"2017/12",	"26.5"
	"2017/11",	"26.0"
	"2017/10",	"25.6"
	"2017/9",	"24.67"
	"2017/8",	"24.7"
	"2017/7",	"24.24"
	"2017/6",	"24.23"
	"2017/5",	"23.81"
	"2017/4",	"23.52"
	"2017/3",	"23.6"
	"2017/2",	"23.68"
	"2017/1",	"23.59"
	"2016/12",	"23.76"
	"2016/11",	"23.35"
	"2016/10",	"23.57"
	"2016/9",	"24.22"
	"2016/8",	"24.57"
	"2016/7",	"24.52"
	"2016/6",	"23.97"
	"2016/5",	"23.81"
	"2016/4",	"23.97"
	"2016/3",	"23.39"
	"2016/2",	"22.02"
	"2016/1",	"22.18"
	"2015/12",	"23.74"
	"2015/11",	"23.67"
	"2015/10",	"22.68"
	"2015/9",	"21.45"
	"2015/8",	"22.15"
	"2015/7",	"22.4"
	"2015/6",	"22.12"
	"2015/5",	"21.92"
	"2015/4",	"21.42"
	"2015/3",	"20.96"
	"2015/2",	"20.77"
	"2015/1",	"20.02"
	"2014/12",	"20.08"
	"2014/11",	"19.75"
	"2014/10",	"18.5"
	"2014/9",	"18.81"
	"2014/8",	"18.68"
	"2014/7",	"18.96"
	"2014/6",	"18.88"
	"2014/5",	"18.46"
	"2014/4",	"18.35"
	"2014/3",	"18.48"
	"2014/2",	"18.06"
	"2014/1",	"18.15"
	"2013/12",	"18.04"
	"2013/11",	"18.15"
	"2013/10",	"17.86"
	"2013/9",	"17.88"
	"2013/8",	"17.91"
	"2013/7",	"18.12"
	"2013/6",	"17.8"
	"2013/5",	"18.25"
	"2013/4",	"17.69"
	"2013/3",	"17.68"
	"2013/2",	"17.32"
	"2013/1",	"17.03"
	"2012/12",	"16.44"
	"2012/11",	"16.12"
	"2012/10",	"16.62"
	"2012/9",	"16.69"
	"2012/8",	"16.14"
	"2012/7",	"15.55"
	"2012/6",	"15.05"
	"2012/5",	"15.22"
	"2012/4",	"15.7"
	"2012/3",	"15.69"
	"2012/2",	"15.37"
	"2012/1",	"14.87"
	"2011/12",	"14.3"
	"2011/11",	"14.1"
	"2011/10",	"13.88"
	"2011/9",	"13.5"
	"2011/8",	"13.79"
	"2011/7",	"15.61"
	"2011/6",	"15.35"
	"2011/5",	"16.12"
	"2011/4",	"16.21"
	"2011/3",	"16.04"
	"2011/2",	"16.52"
	"2011/1",	"16.3"
	"2010/12",	"16.05"
	"2010/11",	"15.88"
	"2010/10",	"15.9"
	"2010/9",	"15.61"
	"2010/8",	"15.47"
	"2010/7",	"15.72"
	"2010/6",	"16.15"
	"2010/5",	"17.3"
	"2010/4",	"19.01"
	"2010/3",	"18.91"
	"2010/2",	"18.91"
	"2010/1",	"20.7"
	"2009/12",	"21.78"
	"2009/11",	"28.51"
	"2009/10",	"42.12"
	"2009/9",	"83.3"
	"2009/8",	"92.95"
	"2009/7",	"101.87"
	"2009/6",	"123.32"
	"2009/5",	"123.73"
	"2009/4",	"119.85"
